"# PR data"
"# Start time: 20191201T171520"
"# Subject: seb"
"# Activity type: Leg slide"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1575216920729","0","0.04296875","-1.0253906","0.16503906","4.625","-11.375","8.90625"
"1575216920729","1","0.0546875","-0.99316406","0.17382812","4.3125","-13.5","4.0"
"1575216920729","2","0.052734375","-0.9785156","0.18652344","6.03125","-13.5","3.65625"
"1575216920730","3","-0.00390625","-0.9707031","0.19726562","5.46875","-9.125","4.1875"
"1575216920730","4","0.0","-0.97558594","0.20605469","0.15625","0.09375","-1.0625"
"1575216920730","5","0.0087890625","-0.9765625","0.21777344","-4.21875","5.0625","-3.90625"
"1575216920730","6","0.022460938","-0.9638672","0.22949219","-4.78125","13.0","-1.25"
"1575216920731","7","0.040039062","-0.9453125","0.23046875","-4.46875","16.78125","1.5625"
"1575216920731","8","0.053710938","-0.953125","0.21484375","-1.40625","17.5","6.6875"
"1575216920731","9","0.030273438","-0.97558594","0.19921875","-4.78125","17.4375","7.5"
"1575216921126","10","0.018554688","-0.9560547","0.2109375","-3.75","16.03125","7.375"
"1575216921127","11","-0.03515625","-0.9189453","0.20507812","-1.25","16.03125","9.25"
"1575216921127","12","0.022460938","-0.99316406","0.18066406","-2.03125","10.40625","11.28125"
"1575216921128","13","0.0146484375","-0.99121094","0.19726562","-4.15625","3.15625","6.9375"
"1575216921129","14","0.02734375","-0.9765625","0.19824219","-0.5","-2.59375","4.125"
"1575216921129","15","0.009765625","-0.95703125","0.19140625","-0.5625","-4.46875","2.5625"
"1575216921129","16","-0.016601562","-0.96484375","0.19140625","-2.21875","-4.59375","2.3125"
"1575216921129","17","-0.00390625","-0.9902344","0.15332031","1.6875","-0.875","1.875"
"1575216921130","18","-0.07519531","-0.9814453","0.18652344","-8.5625","4.25","-0.4375"
"1575216921130","19","-0.04296875","-1.0195312","0.17675781","-8.125","12.5625","-0.3125"
"1575216921523","20","-0.018554688","-1.0556641","0.1875","-10.5","17.4375","0.09375"
"1575216921524","21","-0.09472656","-1.0048828","0.1796875","-14.96875","16.84375","9.375"
"1575216921524","22","-0.0078125","-0.99902344","0.17382812","-13.5625","12.1875","18.34375"
"1575216921524","23","-0.0625","-0.9160156","0.20214844","-0.375","16.28125","24.71875"
"1575216921524","24","-0.10546875","-0.9296875","0.1875","-0.75","27.8125","27.21875"
"1575216921525","25","-0.060546875","-0.9716797","0.17480469","-3.75","27.75","24.71875"
"1575216921525","26","-0.06542969","-0.96191406","0.15625","-3.5625","23.65625","20.625"
"1575216921525","27","-0.056640625","-0.92089844","0.16503906","1.03125","14.3125","19.21875"
"1575216921526","28","-0.12402344","-0.9169922","0.14941406","9.5625","7.25","22.4375"
"1575216921526","29","-0.10058594","-0.96875","0.1484375","9.8125","0.71875","19.21875"
"1575216921921","30","-0.19433594","-0.97265625","0.16015625","8.84375","-5.21875","17.1875"
"1575216921922","31","-0.2109375","-0.9941406","0.16503906","6.03125","0.15625","11.9375"
"1575216921922","32","-0.203125","-0.9511719","0.16601562","2.90625","4.0","8.46875"
"1575216921922","33","-0.23339844","-0.9511719","0.19726562","0.78125","4.75","7.5"
"1575216921923","34","-0.24316406","-0.96484375","0.14648438","4.1875","7.125","8.46875"
"1575216921923","35","-0.26367188","-0.97265625","0.16796875","-4.78125","6.875","8.84375"
"1575216921923","36","-0.23339844","-0.9501953","0.13671875","-3.3125","5.28125","8.59375"
"1575216921924","37","-0.22363281","-0.9628906","0.12695312","1.375","4.9375","8.03125"
"1575216921925","38","-0.15820312","-0.93847656","0.1484375","-1.65625","3.34375","2.3125"
"1575216921925","39","-0.22753906","-0.9091797","0.15722656","4.0","-7.21875","2.3125"
"1575216922320","40","-0.21777344","-0.9248047","0.16308594","5.84375","-7.34375","1.15625"
"1575216922321","41","-0.296875","-0.92578125","0.17871094","5.28125","-6.65625","-0.6875"
"1575216922321","42","-0.2685547","-0.95996094","0.1875","2.3125","-1.78125","-3.0"
"1575216922321","43","-0.2783203","-0.9707031","0.20019531","0.40625","6.46875","-5.6875"
"1575216922321","44","-0.24902344","-0.94628906","0.19335938","-1.1875","8.53125","-4.09375"
"1575216922322","45","-0.26757812","-0.9453125","0.16796875","-0.25","4.75","-2.34375"
"1575216922322","46","-0.19921875","-0.9658203","0.12597656","-0.8125","-2.75","-3.5"
"1575216922322","47","-0.21386719","-0.97558594","0.15136719","-2.21875","-4.78125","-9.90625"
"1575216922322","48","-0.20117188","-0.9511719","0.17675781","-3.90625","-3.875","-12.46875"
"1575216922324","49","-0.11621094","-0.8955078","0.17773438","-1.0625","-15.6875","-12.59375"
"1575216922717","50","-0.12402344","-0.9326172","0.19921875","7.3125","-21.6875","-19.3125"
"1575216922717","51","-0.057617188","-0.9267578","0.1875","10.125","-29.6875","-26.375"
"1575216922717","52","-0.12890625","-0.8828125","0.25195312","10.78125","-32.78125","-33.71875"
"1575216922718","53","-0.068359375","-0.88964844","0.2705078","15.25","-27.90625","-43.34375"
"1575216922718","54","-0.034179688","-0.99902344","0.37890625","18.96875","-19.96875","-48.40625"
"1575216922718","55","-0.26953125","-1.0986328","0.41601562","18.96875","4.25","-34.5"
