"# PR data"
"# Start time: 20191113T104950"
"# Subject: sharan"
"# Activity type: Bicep curl"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573642190370","0","0.15917969","-0.9873047","-0.125","0.84375","6.46875","-1.71875"
"1573642190370","1","0.20410156","-0.9951172","-0.07714844","2.65625","10.0625","-0.4375"
"1573642190371","2","0.1640625","-0.98535156","-0.07324219","-1.34375","6.5","0.0"
"1573642190371","3","0.19824219","-0.984375","-0.0625","-1.25","9.75","-2.03125"
"1573642190371","4","0.18847656","-0.9765625","-0.08203125","-1.0","10.78125","0.09375"
"1573642190371","5","0.18359375","-0.9824219","-0.06738281","4.0","8.59375","2.65625"
"1573642190372","6","0.1875","-0.9873047","-0.057617188","1.5","7.625","1.5"
"1573642190372","7","0.19824219","-0.99902344","-0.06640625","-0.75","-0.625","0.65625"
"1573642190372","8","0.20800781","-0.97753906","-0.07910156","-1.125","-0.5625","1.3125"
"1573642190372","9","0.18066406","-0.9746094","-0.068359375","-2.75","-4.21875","1.03125"
"1573642190769","10","0.17773438","-0.98828125","-0.048828125","-1.46875","2.1875","2.5625"
"1573642190770","11","0.15625","-0.9667969","-0.07128906","-3.5625","-5.8125","0.78125"
"1573642190770","12","0.1796875","-0.9951172","-0.059570312","-0.5625","-2.09375","2.1875"
"1573642190770","13","0.15722656","-0.99316406","-0.07910156","-2.03125","-1.34375","-0.4375"
"1573642190771","14","0.16308594","-0.9902344","-0.0625","-1.90625","1.28125","0.65625"
"1573642190771","15","0.16796875","-0.9873047","-0.083984375","-2.34375","4.1875","-0.25"
"1573642190771","16","0.19042969","-0.98535156","-0.076171875","-1.40625","5.71875","-0.9375"
"1573642190772","17","0.17285156","-0.9873047","-0.07714844","-0.5625","5.1875","-0.1875"
"1573642190772","18","0.17675781","-0.9892578","-0.07324219","-1.0","4.3125","-0.625"
"1573642190772","19","0.16699219","-0.9765625","-0.06542969","-1.1875","3.28125","-1.0"
"1573642190970","20","0.17578125","-0.9794922","-0.07128906","-0.9375","1.28125","-0.625"
"1573642190970","21","0.17675781","-0.9921875","-0.06542969","0.53125","3.59375","0.84375"
"1573642190971","22","0.16796875","-0.98828125","-0.07714844","-0.75","0.96875","-0.875"
"1573642190971","23","0.17382812","-0.9921875","-0.08203125","0.65625","0.90625","-0.1875"
"1573642190971","24","0.17871094","-0.99902344","-0.07324219","-0.8125","0.84375","-0.1875"
"1573642190972","25","0.17382812","-0.99316406","-0.072265625","-1.96875","0.46875","-1.78125"
"1573642190972","26","0.1796875","-1.0048828","-0.080078125","-3.1875","-0.3125","-2.8125"
"1573642190973","27","0.1796875","-0.99609375","-0.08105469","-4.78125","-2.21875","-4.09375"
"1573642190973","28","0.19335938","-0.9892578","-0.06933594","-5.09375","1.8125","-6.0"
"1573642190973","29","0.17773438","-0.9873047","-0.07714844","-5.8125","-0.5","-4.09375"
"1573642191370","30","0.171875","-0.9814453","-0.068359375","-4.84375","-1.1875","-2.75"
"1573642191370","31","0.18847656","-0.9921875","-0.051757812","-5.21875","-1.96875","-1.59375"
"1573642191371","32","0.17578125","-0.98535156","-0.09765625","-4.09375","-2.625","-1.65625"
