"# PR data"
"# Start time: 20191113T104421"
"# Subject: sharan"
"# Activity type: Sit to stand"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573641861441","0","0.04296875","-0.9785156","-0.0859375","-3.5","1.75","-4.84375"
"1573641861442","1","0.091796875","-0.96191406","-0.16699219","-1.125","6.625","-7.46875"
"1573641861442","2","0.15527344","-0.96191406","-0.109375","3.53125","9.03125","-11.5"
"1573641861442","3","0.16992188","-0.9589844","-0.14648438","3.21875","16.28125","-19.0"
"1573641861442","4","0.19921875","-1.0019531","-0.11621094","5.59375","13.96875","-13.25"
"1573641861443","5","0.14550781","-0.9248047","-0.11816406","5.34375","8.03125","-14.96875"
"1573641861443","6","0.29882812","-1.0703125","-0.107421875","-1.78125","4.8125","-11.0625"
"1573641861443","7","0.28515625","-1.0283203","-0.048828125","2.1875","-9.53125","-22.96875"
"1573641861443","8","0.12207031","-0.9580078","-0.07519531","8.78125","-14.1875","-17.65625"
"1573641861444","9","0.20898438","-0.95410156","-0.06738281","16.03125","-11.4375","-2.8125"
"1573641861641","10","0.21777344","-0.9716797","-0.045898438","8.53125","-8.6875","-6.65625"
"1573641861642","11","0.16210938","-1.0068359","-0.041992188","10.78125","-1.0625","0.03125"
"1573641861642","12","0.19726562","-0.99316406","-0.06640625","9.75","-10.09375","0.84375"
"1573641861642","13","0.20410156","-0.98828125","-0.022460938","0.84375","-3.0625","-3.96875"
"1573641861643","14","0.21289062","-1.0058594","-0.059570312","0.71875","1.4375","-1.125"
"1573641861643","15","0.24316406","-0.9921875","-0.049804688","-1.71875","7.625","-6.3125"
"1573641861644","16","0.21777344","-0.98046875","-0.045898438","-3.1875","5.84375","-9.53125"
"1573641861644","17","0.20996094","-0.96191406","-0.06933594","-5.9375","4.1875","-8.25"
"1573641861644","18","0.20019531","-0.94628906","-0.061523438","-10.8125","7.5625","-6.65625"
"1573641861644","19","0.21679688","-0.9560547","-0.107421875","-15.03125","8.96875","-9.96875"
"1573641862235","20","0.26464844","-0.97265625","-0.07714844","-12.03125","9.75","-15.09375"
"1573641862236","21","0.24414062","-0.953125","-0.10449219","-8.6875","6.625","-15.28125"
"1573641862236","22","0.3388672","-0.9707031","-0.11816406","2.25","-0.75","-12.84375"
"1573641862236","23","0.34179688","-0.99902344","-0.107421875","4.125","5.59375","-7.875"
"1573641862236","24","0.32910156","-1.0048828","-0.0390625","9.5","5.65625","2.1875"
"1573641862237","25","0.2607422","-0.9716797","-0.06347656","7.5625","-1.25","4.5625"
