"# PR data"
"# Start time: 20191113T104604"
"# Subject: sharan"
"# Activity type: Squats"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573641964395","0","0.10839844","-0.99121094","0.036132812","-4.46875","0.34375","-5.03125"
"1573641964395","1","0.11621094","-0.98828125","0.053710938","-4.90625","-1.78125","-5.75"
"1573641964396","2","0.11425781","-0.9980469","0.03515625","-4.59375","-0.625","-3.625"
"1573641964396","3","0.1328125","-0.9980469","0.053710938","-3.75","-0.5","-3.90625"
"1573641964396","4","0.13574219","-0.9970703","0.056640625","-2.34375","0.0","-2.9375"
"1573641964396","5","0.12109375","-0.9873047","0.047851562","-3.625","-0.75","-1.96875"
"1573641964397","6","0.115234375","-0.99121094","0.037109375","-4.84375","-0.8125","-1.96875"
"1573641964397","7","0.12011719","-1.0019531","0.048828125","-4.84375","1.28125","-1.34375"
"1573641964397","8","0.1171875","-0.9951172","0.0","-2.15625","1.15625","-1.65625"
"1573641964397","9","0.14355469","-0.98535156","0.061523438","-5.5","1.5625","-1.59375"
"1573641964795","10","0.11425781","-0.9814453","0.01953125","-3.5625","5.0","-3.0625"
"1573641964795","11","0.14355469","-0.99902344","0.03515625","-2.9375","5.71875","-1.96875"
"1573641964795","12","0.12792969","-0.9736328","0.033203125","-2.625","6.03125","-1.65625"
"1573641964796","13","0.13476562","-0.98535156","0.0546875","-1.53125","6.03125","-1.65625"
"1573641964797","14","0.12988281","-0.98535156","0.029296875","-0.1875","5.96875","-1.53125"
"1573641964797","15","0.13574219","-0.9873047","0.045898438","0.90625","3.71875","-0.875"
"1573641964797","16","0.12988281","-0.98535156","0.041992188","0.78125","4.0625","-0.5"
"1573641964798","17","0.13085938","-0.99121094","0.041015625","0.84375","3.78125","-0.4375"
"1573641964798","18","0.125","-0.9970703","0.041015625","0.09375","2.71875","-0.4375"
"1573641964798","19","0.14160156","-1.0078125","0.061523438","0.15625","2.25","-1.125"
"1573641965190","20","0.123046875","-0.98828125","0.0087890625","1.3125","2.0","-0.25"
"1573641965190","21","0.1484375","-0.9951172","0.078125","-1.78125","1.15625","0.46875"
"1573641965191","22","0.12695312","-0.97558594","0.047851562","0.84375","3.21875","-0.5"
"1573641965191","23","0.14355469","-1.0048828","0.043945312","0.71875","2.0","0.53125"
"1573641965191","24","0.123046875","-0.984375","0.043945312","-0.6875","1.375","0.96875"
"1573641965192","25","0.12109375","-0.9824219","0.05859375","-0.25","0.96875","1.8125"
"1573641965193","26","0.12207031","-0.9951172","0.0546875","0.03125","2.375","0.46875"
"1573641965193","27","0.12792969","-0.9892578","0.055664062","0.71875","2.125","0.34375"
"1573641965193","28","0.12011719","-0.98828125","0.048828125","1.15625","1.75","0.96875"
"1573641965194","29","0.12792969","-0.9892578","0.05859375","1.3125","1.6875","0.65625"
"1573641965587","30","0.12402344","-0.9941406","0.059570312","0.96875","1.5625","0.65625"
"1573641965587","31","0.12597656","-0.9970703","0.07324219","-0.375","1.3125","0.03125"
"1573641965588","32","0.1171875","-0.9902344","0.046875","1.75","1.21875","0.28125"
"1573641965588","33","0.12597656","-0.9980469","0.07910156","0.0","0.46875","0.78125"
"1573641965588","34","0.10644531","-0.98046875","0.053710938","1.4375","2.125","0.28125"
"1573641965588","35","0.123046875","-1.0019531","0.06738281","1.15625","1.4375","0.65625"
"1573641965589","36","0.11621094","-0.98339844","0.056640625","0.0","1.3125","0.40625"
"1573641965590","37","0.11328125","-0.98828125","0.078125","0.0","1.21875","0.34375"
"1573641965590","38","0.111328125","-0.9892578","0.06347656","0.0","1.15625","-0.6875"
"1573641965590","39","0.119140625","-0.9921875","0.07519531","-0.25","1.4375","-1.0"
"1573641965987","40","0.109375","-0.9873047","0.0703125","-0.625","1.3125","-0.1875"
"1573641965987","41","0.12109375","-0.98535156","0.07324219","-0.4375","0.84375","-0.4375"
"1573641965988","42","0.11621094","-0.9970703","0.059570312","-0.9375","0.34375","-0.6875"
"1573641965988","43","0.13085938","-1.0058594","0.06738281","-1.65625","0.46875","-1.78125"
"1573641965988","44","0.11035156","-0.9941406","0.048828125","-1.96875","-0.6875","-2.28125"
"1573641965988","45","0.13867188","-0.9902344","0.06933594","-4.03125","2.1875","-5.5625"
"1573641965989","46","0.099609375","-0.98535156","0.07324219","-3.0","0.65625","-1.96875"
"1573641965989","47","0.12695312","-0.99316406","0.072265625","-4.15625","-0.0625","-0.625"
"1573641965989","48","0.11035156","-1.0087891","0.078125","-6.0","-0.4375","-2.09375"
"1573641965990","49","0.09277344","-1.0058594","0.052734375","-6.0","0.21875","-0.625"
"1573641966384","50","0.15625","-1.0166016","0.055664062","-5.21875","3.28125","-0.9375"
"1573641966384","51","0.13867188","-0.98339844","0.06347656","-4.65625","0.96875","-7.21875"
"1573641966384","52","0.080078125","-1.0136719","0.041015625","-5.5625","0.28125","-0.375"
"1573641966385","53","0.140625","-0.9560547","0.06933594","-4.46875","1.75","0.34375"
"1573641966385","54","0.15527344","-0.92871094","0.0546875","-3.0","-2.40625","-4.03125"
"1573641966385","55","0.14160156","-0.9863281","0.083984375","-5.6875","-5.09375","-5.875"
"1573641966385","56","0.10546875","-0.99902344","0.030273438","-5.21875","0.71875","-4.15625"
"1573641966386","57","0.14746094","-0.9707031","0.06933594","-5.75","-0.875","-1.0"
"1573641966386","58","0.11816406","-0.9628906","0.034179688","-2.28125","6.625","-2.75"
"1573641966386","59","0.14550781","-1.0205078","0.025390625","-3.5625","7.625","-0.3125"
"1573641966779","60","0.15332031","-0.98535156","0.040039062","-3.25","7.75","0.03125"
"1573641966780","61","0.13769531","-0.9873047","0.040039062","-3.90625","3.84375","0.78125"
"1573641966781","62","0.140625","-0.9873047","0.033203125","-1.40625","5.96875","0.40625"
