"# PR data"
"# Start time: 20191113T105526"
"# Subject: sharan"
"# Activity type: Leg slide"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573642526658","0","0.2548828","-0.9658203","0.032226562","0.96875","33.8125","0.28125"
"1573642526659","1","0.23242188","-0.96484375","0.053710938","7.25","32.875","0.34375"
"1573642526659","2","0.2109375","-0.94628906","0.09375","7.90625","30.9375","1.75"
"1573642526660","3","0.21679688","-0.9091797","0.109375","12.5","30.25","2.1875"
"1573642526660","4","0.27441406","-0.93359375","0.11035156","10.84375","27.15625","-1.1875"
"1573642526660","5","0.29101562","-0.9824219","0.13378906","6.46875","24.34375","-6.90625"
"1573642526660","6","0.2529297","-1.0654297","0.10546875","0.78125","25.0","-7.28125"
"1573642526661","7","0.21191406","-1.0380859","0.12988281","-6.5","29.65625","-5.09375"
"1573642526661","8","0.22167969","-0.94433594","0.125","-6.125","34.28125","-2.75"
"1573642526661","9","0.19824219","-0.9013672","0.13574219","-6.53125","36.0","-2.28125"
"1573642527056","10","0.19824219","-0.9326172","0.171875","-5.375","51.75","1.5625"
"1573642527056","11","0.12792969","-1.0107422","0.11328125","-14.40625","53.875","3.21875"
"1573642527057","12","0.11035156","-0.97558594","0.17578125","-21.875","71.28125","10.71875"
"1573642527058","13","0.060546875","-0.99121094","0.15332031","-17.96875","68.15625","18.40625"
"1573642527058","14","0.0107421875","-1.0693359","0.109375","-15.15625","88.65625","29.03125"
"1573642527058","15","0.140625","-1.0078125","0.13085938","-18.875","92.875","41.3125"
"1573642527058","16","0.005859375","-0.9609375","0.09765625","-24.84375","93.3125","34.71875"
"1573642527059","17","-0.0703125","-1.0195312","0.040039062","-28.34375","101.375","24.8125"
"1573642527059","18","-0.0029296875","-1.0654297","0.044921875","-33.09375","108.6875","16.40625"
"1573642527059","19","0.13476562","-0.98535156","-0.009765625","-33.59375","93.125","1.3125"
"1573642528246","20","0.13476562","-0.9589844","-0.013671875","-29.1875","75.53125","-12.71875"
"1573642528247","21","0.08105469","-0.92871094","0.0107421875","-21.8125","60.90625","-12.34375"
"1573642528247","22","0.03125","-0.9609375","-0.0625","-13.9375","50.8125","-16.5"
"1573642528247","23","0.072265625","-1.0400391","-0.07324219","-12.78125","40.34375","-25.34375"
"1573642528247","24","0.08300781","-1.015625","-0.11230469","-13.5625","25.5625","-24.96875"
"1573642528248","25","0.06738281","-0.984375","-0.11328125","-14.34375","13.65625","-20.875"
"1573642528249","26","0.060546875","-0.96875","-0.12402344","-12.21875","8.28125","-22.0"
"1573642528249","27","0.06738281","-0.9921875","-0.15234375","-8.375","4.1875","-19.53125"
"1573642528249","28","0.045898438","-1.0361328","-0.16796875","-4.53125","4.875","-13.875"
"1573642528250","29","0.07421875","-0.98535156","-0.16113281","-2.15625","0.28125","-13.75"
"1573642528448","30","0.06933594","-0.9746094","-0.14746094","-1.59375","-2.875","-10.28125"
"1573642528448","31","0.032226562","-0.953125","-0.20214844","-0.0625","-5.25","-10.03125"
"1573642528449","32","0.033203125","-0.9794922","-0.15527344","0.78125","-0.1875","-12.59375"
