"# PR data"
"# Start time: 20191113T105904"
"# Subject: sharan"
"# Activity type: Walking"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573642745083","0","0.2109375","-0.96484375","-0.07910156","1.6875","-0.25","-0.875"
"1573642745083","1","0.24121094","-0.9873047","-0.029296875","-0.8125","0.96875","0.28125"
"1573642745084","2","0.21484375","-0.984375","-0.055664062","-0.375","0.71875","-0.875"
"1573642745084","3","0.234375","-1.0146484","-0.059570312","-3.25","0.09375","0.0"
"1573642745084","4","0.18066406","-0.9716797","-0.057617188","-7.875","-1.84375","-3.0"
"1573642745084","5","0.203125","-0.96191406","-0.07421875","-6.125","3.40625","-3.0"
"1573642745085","6","0.20898438","-0.93066406","-0.076171875","-1.0","4.625","0.03125"
"1573642745085","7","0.24511719","-0.95214844","-0.09082031","4.6875","8.71875","1.21875"
"1573642745085","8","0.26464844","-1.0087891","-0.08203125","6.6875","5.0","4.0"
"1573642745085","9","0.23046875","-0.9794922","-0.07324219","4.6875","2.125","1.875"
"1573642745282","10","0.21582031","-0.98339844","-0.061523438","4.0","2.5","1.03125"
"1573642745283","11","0.22753906","-0.97558594","-0.041992188","4.125","2.4375","2.65625"
"1573642745283","12","0.21289062","-0.9609375","-0.044921875","2.375","-2.34375","0.84375"
"1573642745283","13","0.21972656","-0.9902344","-0.041992188","1.09375","-0.3125","-0.5625"
"1573642745284","14","0.21679688","-0.9814453","-0.036132812","-0.8125","-3.90625","-2.40625"
"1573642745284","15","0.21972656","-0.9814453","-0.05859375","-1.1875","-2.03125","-2.40625"
"1573642745284","16","0.21875","-0.98046875","-0.056640625","-1.59375","-1.59375","-1.40625"
"1573642745284","17","0.22070312","-0.95410156","-0.080078125","2.1875","0.09375","-1.0"
"1573642745285","18","0.25585938","-0.97753906","-0.05859375","4.625","-0.75","0.0"
"1573642745285","19","0.24511719","-0.99902344","-0.043945312","3.59375","-3.75","0.34375"
"1573642745479","20","0.21386719","-0.9814453","-0.041015625","2.25","-5.375","-1.53125"
"1573642745479","21","0.22167969","-0.9746094","-0.025390625","0.59375","-5.09375","-3.875"
"1573642745479","22","0.21289062","-0.96875","-0.0146484375","-1.90625","-3.96875","-5.3125"
"1573642745480","23","0.20214844","-0.96191406","-0.030273438","-2.21875","-1.34375","-6.53125"
"1573642745480","24","0.23046875","-0.9638672","-0.029296875","-0.9375","-2.03125","-6.0625"
"1573642745480","25","0.25","-0.984375","-0.053710938","1.5625","-0.9375","-3.1875"
"1573642745481","26","0.26171875","-0.99316406","-0.01953125","-2.03125","-4.96875","-3.4375"
"1573642745481","27","0.22363281","-0.9902344","-0.03515625","-2.625","-5.625","-3.3125"
"1573642745481","28","0.25585938","-0.98339844","-0.040039062","-2.625","-5.375","-3.125"
"1573642745481","29","0.20996094","-0.9707031","-0.034179688","-4.28125","-5.8125","-0.5"
"1573642745681","30","0.22949219","-0.96484375","-0.024414062","-3.4375","-1.59375","-1.0625"
"1573642745681","31","0.24121094","-0.9658203","-0.040039062","-2.875","0.78125","-1.96875"
"1573642745681","32","0.23535156","-0.9765625","-0.047851562","-2.40625","0.40625","-1.90625"
"1573642745681","33","0.23046875","-0.97753906","-0.057617188","-2.53125","1.09375","-1.125"
"1573642745682","34","0.24609375","-0.97558594","-0.059570312","-4.40625","0.59375","0.0"
"1573642745682","35","0.23828125","-0.96972656","-0.051757812","-4.59375","0.28125","-1.65625"
"1573642745682","36","0.23242188","-0.9746094","-0.028320312","-3.0625","1.9375","-2.15625"
