"# PR data"
"# Start time: 20191114T033906"
"# Subject: teo"
"# Activity type: Bicep curl"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573702746141","0","0.15429688","-0.97265625","-0.2861328","-3.125","-5.4375","-2.53125"
"1573702746142","1","0.15332031","-0.96484375","-0.296875","-5.03125","-7.40625","-1.53125"
"1573702746142","2","0.15625","-0.9707031","-0.2998047","-6.0625","-8.6875","-1.25"
"1573702746142","3","0.15332031","-0.9736328","-0.30664062","-3.4375","-6.90625","-0.8125"
"1573702746143","4","0.14257812","-0.9589844","-0.3232422","-0.8125","-7.15625","-1.46875"
"1573702746143","5","0.14453125","-0.9716797","-0.3095703","-0.4375","-5.75","-1.84375"
"1573702746143","6","0.14648438","-0.96972656","-0.30859375","-1.40625","-5.5625","-0.625"
"1573702746143","7","0.15234375","-0.9628906","-0.31640625","-1.46875","-8.875","-1.65625"
"1573702746143","8","0.17675781","-0.9667969","-0.3203125","-1.1875","-13.5625","-1.71875"
"1573702746144","9","0.1796875","-0.9736328","-0.3125","-1.78125","-16.0","-3.125"
"1573702746541","10","0.17382812","-0.9716797","-0.3046875","-3.3125","-21.5625","-7.8125"
"1573702746542","11","0.20996094","-0.95214844","-0.29003906","-4.65625","-33.28125","-7.15625"
"1573702746542","12","0.22265625","-0.96191406","-0.30371094","0.28125","-45.1875","-4.09375"
"1573702746543","13","0.16992188","-0.9746094","-0.31054688","3.9375","-47.625","-4.21875"
"1573702746544","14","0.12109375","-0.9638672","-0.3251953","5.21875","-44.8125","-4.34375"
"1573702746544","15","0.13085938","-0.96777344","-0.31347656","5.84375","-43.65625","-11.375"
"1573702746544","16","0.18164062","-0.9970703","-0.28515625","7.125","-46.03125","-22.15625"
"1573702746545","17","0.14746094","-1.0595703","-0.2548828","3.09375","-59.40625","-17.71875"
"1573702746545","18","0.21875","-0.9765625","-0.29785156","-9.40625","-61.1875","-45.96875"
"1573702746545","19","0.09863281","-0.95703125","-0.33203125","4.1875","-56.84375","-16.9375"
"1573702746937","20","0.21484375","-0.90722656","-0.35546875","-3.1875","-48.71875","-35.59375"
"1573702746937","21","0.23632812","-0.99121094","-0.37109375","-6.0","-34.0","-30.34375"
"1573702746938","22","0.18066406","-0.9892578","-0.3154297","5.0625","-35.21875","-31.75"
"1573702746938","23","0.18554688","-0.93847656","-0.31835938","2.90625","-47.0","-29.25"
"1573702746938","24","0.15039062","-0.9033203","-0.32910156","-3.5","-49.15625","-17.21875"
"1573702746942","25","0.12011719","-0.89746094","-0.3720703","0.21875","-41.21875","-14.34375"
"1573702746943","26","0.076171875","-0.9628906","-0.41503906","0.59375","-25.21875","-8.0"
"1573702746943","27","0.1015625","-0.95996094","-0.43164062","-1.1875","-9.40625","-0.3125"
"1573702746943","28","0.17285156","-0.9667969","-0.37890625","1.09375","-7.40625","5.0625"
"1573702746944","29","0.19824219","-0.92871094","-0.36816406","3.21875","-8.5625","5.125"
"1573702747335","30","0.16992188","-0.9404297","-0.36328125","11.875","-2.59375","3.59375"
"1573702747335","31","0.12207031","-0.96972656","-0.38964844","4.375","-0.9375","4.8125"
"1573702747336","32","0.13671875","-0.9736328","-0.39941406","4.1875","1.9375","5.71875"
"1573702747336","33","0.13085938","-0.9423828","-0.41308594","3.03125","5.125","8.34375"
"1573702747336","34","0.15429688","-0.90527344","-0.390625","4.5625","7.96875","9.09375"
"1573702747336","35","0.13769531","-0.9248047","-0.36328125","-3.96875","10.0","4.875"
"1573702747337","36","0.14550781","-0.94140625","-0.38085938","-4.46875","17.0","2.84375"
"1573702747338","37","0.12695312","-0.96484375","-0.40722656","-4.59375","15.84375","0.59375"
"1573702747338","38","0.14648438","-0.9296875","-0.4091797","-13.75","16.78125","-0.3125"
"1573702747339","39","0.16601562","-0.93359375","-0.41796875","-2.15625","16.9375","3.78125"
"1573702747732","40","0.18066406","-0.9189453","-0.40820312","-6.5","13.96875","2.5625"
"1573702747732","41","0.17675781","-0.92285156","-0.40820312","-8.9375","11.15625","1.375"
"1573702747733","42","0.1796875","-0.92578125","-0.42089844","-9.34375","12.5","1.03125"
"1573702747733","43","0.17871094","-0.92871094","-0.41015625","-11.3125","11.75","-1.25"
"1573702747733","44","0.18066406","-0.921875","-0.42089844","-8.0","7.6875","-1.96875"
"1573702747733","45","0.18359375","-0.93066406","-0.4296875","-4.96875","3.71875","-1.1875"
"1573702747734","46","0.18359375","-0.9238281","-0.42382812","-0.75","0.15625","-0.5625"
"1573702747734","47","0.18066406","-0.92089844","-0.421875","0.96875","-3.0625","0.0"
"1573702747734","48","0.18457031","-0.92285156","-0.41503906","1.5","-4.90625","-0.9375"
"1573702747736","49","0.17871094","-0.92089844","-0.42382812","3.28125","-6.25","-0.75"
"1573702748326","50","0.17382812","-0.9316406","-0.42382812","4.0","-6.53125","-0.0625"
"1573702748328","51","0.16503906","-0.9326172","-0.4111328","5.65625","-6.125","0.71875"
"1573702748329","52","0.17089844","-0.9296875","-0.4111328","4.6875","-6.0","2.65625"
"1573702748329","53","0.171875","-0.9375","-0.40820312","2.5","-2.59375","4.3125"
"1573702748329","54","0.17480469","-0.9404297","-0.38867188","3.90625","-2.03125","3.9375"
"1573702748330","55","0.18164062","-0.91015625","-0.41796875","1.28125","-2.15625","4.1875"
"1573702748330","56","0.17480469","-0.9482422","-0.40429688","1.625","0.59375","4.5625"
"1573702748330","57","0.16308594","-0.9316406","-0.4013672","-2.03125","-2.59375","2.90625"
"1573702748330","58","0.17773438","-0.9375","-0.40234375","-1.65625","-1.40625","2.90625"
"1573702748331","59","0.15917969","-0.93652344","-0.3955078","-0.9375","-2.15625","1.375"
"1573702748526","60","0.15039062","-0.93652344","-0.390625","-3.4375","-1.65625","0.65625"
"1573702748527","61","0.16796875","-0.9355469","-0.39648438","-1.90625","-0.0625","0.78125"
"1573702748528","62","0.15917969","-0.92871094","-0.40234375","4.4375","2.78125","1.15625"
"1573702748528","63","0.15722656","-0.94921875","-0.38476562","8.65625","3.90625","3.84375"
"1573702748528","64","0.16210938","-0.94433594","-0.38085938","5.78125","2.84375","3.65625"
"1573702748529","65","0.14453125","-0.9433594","-0.37890625","-2.03125","4.3125","1.8125"
"1573702748529","66","0.14941406","-0.93847656","-0.375","-3.3125","3.28125","-0.625"
"1573702748529","67","0.16308594","-0.9433594","-0.37890625","1.5625","0.03125","-1.34375"
"1573702748529","68","0.15722656","-0.9375","-0.38964844","4.125","-5.8125","-3.5625"
"1573702748529","69","0.14550781","-0.9501953","-0.3857422","5.21875","-9.53125","-3.875"
"1573702749518","70","0.16503906","-0.96972656","-0.36914062","6.40625","-7.34375","-2.15625"
"1573702749519","71","0.15722656","-0.9472656","-0.36523438","-5.15625","-4.71875","-3.875"
"1573702749519","72","0.16015625","-0.9501953","-0.37695312","-2.6875","-6.375","-2.03125"
"1573702749520","73","0.15917969","-0.9404297","-0.40527344","-0.125","-6.96875","-1.71875"
"1573702749521","74","0.15429688","-0.94921875","-0.39160156","-1.125","-4.90625","-2.03125"
"1573702749521","75","0.140625","-0.94140625","-0.40625","-0.125","-6.4375","-3.375"
"1573702749521","76","0.15527344","-0.92871094","-0.3984375","-4.46875","-5.875","-4.28125"
"1573702749522","77","0.18066406","-0.9394531","-0.4091797","0.34375","-7.8125","-3.75"
"1573702749522","78","0.16894531","-0.9404297","-0.40527344","0.71875","-5.375","-0.6875"
"1573702749522","79","0.15429688","-0.92285156","-0.39648438","0.21875","-6.96875","-1.46875"
"1573702749718","80","0.15917969","-0.92285156","-0.3984375","-2.15625","-4.09375","-2.6875"
"1573702749718","81","0.18164062","-0.9326172","-0.40820312","1.03125","-4.21875","-1.0"
"1573702749719","82","0.16601562","-0.93652344","-0.40234375","1.4375","-4.71875","-1.34375"
"1573702749719","83","0.15722656","-0.9345703","-0.40722656","5.21875","-5.3125","1.03125"
"1573702749719","84","0.17480469","-0.92285156","-0.38867188","0.96875","-2.8125","2.59375"
"1573702749720","85","0.16894531","-0.93847656","-0.4033203","3.46875","-3.0","1.6875"
"1573702749721","86","0.125","-0.94628906","-0.39746094","-0.875","-2.40625","-0.6875"
"1573702749721","87","0.17089844","-0.9375","-0.38476562","-1.25","-0.5","1.3125"
"1573702749721","88","0.16210938","-0.95410156","-0.38964844","2.375","2.59375","0.09375"
"1573702749722","89","0.15429688","-0.9326172","-0.3984375","-0.0625","-0.875","0.84375"
"1573702749914","90","0.17675781","-0.93359375","-0.38378906","-1.46875","1.8125","2.0625"
"1573702749915","91","0.16015625","-0.9453125","-0.4013672","0.71875","1.375","2.125"
"1573702749915","92","0.14648438","-0.9550781","-0.38964844","0.96875","1.3125","2.84375"
"1573702749915","93","0.16992188","-0.9296875","-0.3935547","-0.75","1.9375","2.0625"
"1573702749915","94","0.15234375","-0.9375","-0.37304688","-9.71875","6.09375","-1.3125"
"1573702749916","95","0.13183594","-0.9296875","-0.3935547","-13.1875","4.5","-4.46875"
"1573702749916","96","0.15429688","-0.9345703","-0.41308594","-6.3125","1.9375","-2.625"
"1573702749917","97","0.16601562","-0.9404297","-0.42089844","3.78125","0.28125","0.40625"
"1573702749917","98","0.14648438","-0.92871094","-0.4013672","7.625","1.4375","1.5"
"1573702749918","99","0.16601562","-0.91503906","-0.39648438","9.375","0.03125","2.59375"
"1573702750117","100","0.1640625","-0.9394531","-0.38964844","9.875","1.625","2.375"
"1573702750117","101","0.16015625","-0.95214844","-0.40039062","14.15625","0.96875","3.90625"
"1573702750117","102","0.16894531","-0.9404297","-0.37695312","10.25","-1.0625","4.1875"
"1573702750118","103","0.17578125","-0.9404297","-0.38964844","13.0","-3.75","6.28125"
"1573702750118","104","0.15332031","-0.9453125","-0.38183594","13.96875","-8.0625","4.0625"
"1573702750118","105","0.16992188","-0.9326172","-0.36132812","1.5","-7.40625","3.90625"
"1573702750118","106","0.15429688","-0.9580078","-0.37402344","15.4375","-6.59375","5.65625"
"1573702750118","107","0.11035156","-0.9589844","-0.34960938","5.21875","-10.03125","2.71875"
"1573702750119","108","0.12011719","-0.9560547","-0.34765625","0.71875","-6.0","1.09375"
"1573702750120","109","0.123046875","-0.9609375","-0.35058594","-0.6875","-0.875","-1.1875"
"1573702750513","110","0.12207031","-0.9560547","-0.3408203","-4.90625","0.71875","-1.25"
"1573702750514","111","0.14453125","-0.95410156","-0.35253906","-2.875","-0.125","0.59375"
"1573702750514","112","0.12988281","-0.9550781","-0.3623047","-0.4375","0.65625","1.21875"
"1573702750515","113","0.1171875","-0.9472656","-0.33007812","-0.875","1.75","1.28125"
"1573702750515","114","0.13183594","-0.9707031","-0.33007812","1.5625","5.59375","1.9375"
"1573702750515","115","0.12402344","-0.9814453","-0.33007812","-2.34375","4.1875","0.78125"
"1573702750515","116","0.115234375","-0.9746094","-0.3388672","-3.3125","0.46875","-0.3125"
"1573702750516","117","0.111328125","-0.9511719","-0.3515625","-2.40625","-0.5625","-1.40625"
"1573702750516","118","0.1328125","-0.953125","-0.3642578","-0.375","1.5","-1.25"
"1573702750516","119","0.13867188","-0.95703125","-0.3544922","-3.1875","1.5","-2.40625"
"1573702750912","120","0.13085938","-0.9511719","-0.3564453","-1.25","3.59375","-0.3125"
"1573702750914","121","0.13378906","-0.9453125","-0.37890625","4.375","2.125","-0.75"
"1573702750915","122","0.14746094","-0.9375","-0.36523438","-13.3125","1.8125","-1.46875"
"1573702750915","123","0.13476562","-0.96191406","-0.3779297","2.0","2.0625","0.21875"
"1573702750915","124","0.13769531","-0.9375","-0.37695312","-4.21875","2.78125","-0.375"
"1573702750916","125","0.18359375","-0.9199219","-0.39941406","-3.75","-1.53125","-0.625"
"1573702750916","126","0.123046875","-0.9501953","-0.3935547","3.65625","0.28125","-3.0625"
"1573702750916","127","0.18847656","-0.94140625","-0.3671875","-2.9375","-2.34375","1.15625"
"1573702750916","128","0.1328125","-0.94140625","-0.37402344","3.90625","-6.375","-3.6875"
"1573702750917","129","0.14550781","-0.9560547","-0.38085938","0.15625","-2.9375","-1.34375"
"1573702751310","130","0.1640625","-0.94433594","-0.37597656","-0.875","-6.53125","-3.125"
"1573702751310","131","0.125","-0.9472656","-0.36328125","-3.4375","-4.15625","-5.5625"
"1573702751311","132","0.15136719","-0.94628906","-0.3857422","-0.0625","-4.90625","-2.9375"
