"# PR data"
"# Start time: 20191114T034313"
"# Subject: teo"
"# Activity type: Leg slide"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573702993586","0","-0.08105469","-0.97558594","-0.15039062","7.5","25.125","-19.375"
"1573702993586","1","-0.16113281","-0.8984375","-0.140625","-0.0625","28.0","-7.53125"
"1573702993586","2","-0.07421875","-1.0371094","-0.14160156","-17.78125","52.46875","-10.21875"
"1573702993587","3","0.14355469","-1.2402344","-0.13476562","-46.09375","57.25","-45.84375"
"1573702993587","4","0.087890625","-1.1015625","-0.10839844","-31.9375","0.46875","-22.0625"
"1573702993587","5","9.765625E-4","-0.69433594","-0.17382812","4.1875","-13.0625","-1.0"
"1573702993587","6","0.059570312","-0.921875","-0.2265625","-17.65625","26.40625","-15.8125"
"1573702993588","7","0.016601562","-1.2216797","-0.21875","-24.4375","11.09375","1.375"
"1573702993588","8","0.0107421875","-0.9482422","-0.19042969","-8.25","-7.65625","-1.3125"
"1573702993588","9","0.076171875","-0.91796875","-0.16796875","-2.03125","6.09375","-3.1875"
"1573702993983","10","0.013671875","-1.0898438","-0.17285156","15.0625","6.8125","7.5"
"1573702993983","11","0.0068359375","-0.9609375","-0.171875","4.6875","2.5625","-2.9375"
"1573702993983","12","0.125","-0.9433594","-0.18066406","-1.78125","-0.1875","-11.125"
"1573702993984","13","0.103515625","-1.0273438","-0.20898438","-7.21875","-2.15625","-12.78125"
"1573702993984","14","0.061523438","-1.0224609","-0.20410156","-4.15625","-3.0","-9.21875"
"1573702993985","15","0.08496094","-0.99316406","-0.1875","0.28125","-4.15625","-7.09375"
"1573702993985","16","0.08984375","-0.99121094","-0.17871094","11.15625","-3.375","-3.90625"
"1573702993985","17","0.059570312","-1.0087891","-0.18261719","9.03125","0.78125","-4.53125"
"1573702993986","18","0.09277344","-1.015625","-0.171875","10.375","1.5625","-8.0"
"1573702993986","19","0.12597656","-1.0048828","-0.16503906","14.3125","0.96875","-7.53125"
"1573702994381","20","0.14453125","-0.9892578","-0.13183594","14.9375","-3.125","-6.125"
"1573702994382","21","0.1015625","-0.9970703","-0.111328125","12.6875","-1.46875","-5.15625"
"1573702994382","22","0.046875","-1.0087891","-0.103515625","6.625","2.71875","-3.8125"
"1573702994383","23","0.08105469","-0.9716797","-0.12792969","2.65625","12.0625","0.53125"
"1573702994383","24","0.123046875","-1.0146484","-0.15039062","1.75","17.6875","2.71875"
"1573702994384","25","0.11035156","-1.0527344","-0.11816406","10.96875","10.78125","0.78125"
"1573702994384","26","0.095703125","-0.9863281","-0.12792969","4.3125","8.28125","-0.9375"
"1573702994384","27","0.1484375","-1.0117188","-0.1171875","4.4375","10.78125","-4.59375"
"1573702994385","28","0.19726562","-1.0029297","-0.12011719","1.03125","-3.0","-8.0625"
"1573702994385","29","0.16601562","-1.0234375","-0.099609375","-2.28125","-10.625","-9.59375"
