"# PR data"
"# Start time: 20191114T033934"
"# Subject: teo"
"# Activity type: Bicep curl"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573702775357","0","0.19140625","-0.9658203","-0.29003906","-1.25","4.4375","3.90625"
"1573702775358","1","0.19726562","-0.96191406","-0.29296875","0.40625","3.71875","4.625"
"1573702775358","2","0.1796875","-0.96777344","-0.29882812","0.21875","3.46875","4.75"
"1573702775359","3","0.19140625","-0.96777344","-0.296875","1.3125","0.46875","3.34375"
"1573702775359","4","0.1953125","-0.9638672","-0.29101562","-1.65625","0.09375","0.84375"
"1573702775359","5","0.18652344","-0.96484375","-0.2939453","-0.8125","-2.28125","1.5"
"1573702775359","6","0.17578125","-0.9746094","-0.29492188","-0.625","-2.53125","0.90625"
"1573702775359","7","0.18359375","-0.95996094","-0.2861328","1.75","-3.75","0.09375"
"1573702775360","8","0.18359375","-0.97558594","-0.29492188","2.90625","-5.375","-2.625"
"1573702775360","9","0.18359375","-0.96972656","-0.30371094","2.3125","-5.625","0.0"
"1573702775755","10","0.13378906","-0.9716797","-0.3076172","-3.8125","-4.15625","-1.34375"
"1573702775755","11","0.15917969","-0.9746094","-0.30371094","-1.59375","1.6875","0.53125"
"1573702775756","12","0.18554688","-0.9550781","-0.29882812","-1.25","1.5625","-0.125"
"1573702775757","13","0.20117188","-0.96484375","-0.28515625","-2.75","5.125","1.5625"
"1573702775757","14","0.19238281","-0.9667969","-0.28710938","4.625","2.90625","3.03125"
"1573702775758","15","0.1875","-0.96972656","-0.30273438","0.71875","-0.4375","3.59375"
"1573702775758","16","0.18066406","-0.9863281","-0.2890625","3.9375","0.71875","3.71875"
"1573702775758","17","0.18847656","-0.9736328","-0.29882812","1.9375","-1.0625","3.46875"
"1573702775759","18","0.17285156","-0.9824219","-0.2861328","4.0","-1.25","2.65625"
"1573702775759","19","0.16601562","-0.9580078","-0.28710938","0.59375","-3.0625","0.53125"
"1573702776155","20","0.17089844","-0.98046875","-0.27148438","0.71875","-4.53125","-1.0625"
"1573702776155","21","0.1640625","-0.9716797","-0.2861328","-0.8125","-5.6875","-2.28125"
"1573702776156","22","0.15722656","-0.97265625","-0.28808594","-1.53125","-6.1875","-3.0"
"1573702776156","23","0.16992188","-0.97558594","-0.28808594","-1.84375","-5.09375","-2.59375"
"1573702776156","24","0.16699219","-0.9716797","-0.29589844","-2.59375","-5.4375","-2.15625"
"1573702776158","25","0.15527344","-0.9716797","-0.2998047","-3.8125","-3.96875","-1.46875"
"1573702776158","26","0.15917969","-0.96777344","-0.29882812","-3.75","-1.40625","-0.875"
"1573702776158","27","0.18359375","-0.97265625","-0.30371094","-3.0","0.40625","-0.375"
"1573702776159","28","0.18164062","-0.96972656","-0.3046875","-2.15625","-1.59375","-0.125"
"1573702776159","29","0.17773438","-0.9638672","-0.3017578","-1.125","-2.625","0.09375"
"1573702776552","30","0.18066406","-0.95996094","-0.30859375","-1.65625","-2.21875","0.28125"
"1573702776552","31","0.16894531","-0.9814453","-0.30664062","-0.3125","-2.46875","0.78125"
"1573702776553","32","0.16308594","-0.96875","-0.3095703","0.78125","-4.09375","-1.53125"
"1573702776553","33","0.18164062","-0.953125","-0.31347656","-6.59375","0.0","-1.3125"
"1573702776553","34","0.16601562","-0.9814453","-0.30371094","-4.46875","-1.0","-2.15625"
"1573702776553","35","0.18066406","-0.9589844","-0.328125","-5.625","-2.625","-2.21875"
"1573702776553","36","0.1875","-0.95703125","-0.31640625","-2.09375","-1.90625","-1.65625"
"1573702776555","37","0.19042969","-0.9580078","-0.31933594","-1.59375","-1.84375","0.34375"
"1573702776556","38","0.16992188","-0.9667969","-0.30859375","1.625","-0.1875","1.75"
"1573702776556","39","0.17382812","-0.9667969","-0.3154297","1.4375","0.53125","2.3125"
"1573702776950","40","0.1796875","-0.9638672","-0.31933594","2.65625","0.96875","1.21875"
"1573702776950","41","0.16992188","-0.96191406","-0.30664062","0.84375","-0.625","-0.5625"
"1573702776950","42","0.18554688","-0.95214844","-0.3173828","-1.53125","-2.59375","-1.34375"
"1573702776951","43","0.19628906","-0.9716797","-0.32617188","-0.875","-1.3125","-0.625"
"1573702776951","44","0.18652344","-0.9716797","-0.31152344","-1.3125","0.03125","0.09375"
