"# PR data"
"# Start time: 20191114T033816"
"# Subject: teo"
"# Activity type: Heel raises"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573702696255","0","0.09667969","-0.9746094","-0.30664062","0.96875","-1.96875","1.28125"
"1573702696256","1","0.09472656","-0.9765625","-0.30078125","-1.78125","-2.09375","0.0"
"1573702696256","2","0.09863281","-0.97265625","-0.3017578","-0.9375","-2.46875","0.0"
"1573702696256","3","0.08691406","-0.9765625","-0.3076172","0.34375","-3.0","0.09375"
"1573702696257","4","0.09472656","-0.9707031","-0.3017578","-0.5","-3.5625","-0.625"
"1573702696257","5","0.099609375","-0.9716797","-0.30078125","-0.875","-4.09375","-0.6875"
"1573702696257","6","0.09082031","-0.9746094","-0.3125","-0.1875","-4.03125","-0.625"
"1573702696257","7","0.095703125","-0.97558594","-0.2998047","-0.25","-4.46875","-0.375"
"1573702696258","8","0.09472656","-0.9658203","-0.3232422","0.15625","-4.84375","-0.5"
"1573702696258","9","0.09082031","-0.9707031","-0.31445312","-2.625","-4.90625","-0.875"
"1573702696653","10","0.091796875","-0.9902344","-0.2919922","-0.4375","-2.8125","0.40625"
"1573702696653","11","0.091796875","-0.9785156","-0.30664062","0.90625","-1.34375","-0.4375"
"1573702696653","12","0.08496094","-0.96875","-0.30859375","-0.0625","-4.78125","0.46875"
"1573702696654","13","0.08203125","-0.96972656","-0.29296875","1.03125","-3.6875","2.65625"
"1573702696654","14","0.087890625","-0.98046875","-0.30664062","1.09375","-1.34375","-0.1875"
"1573702696655","15","0.09082031","-0.97558594","-0.3076172","-1.34375","-0.125","0.03125"
"1573702696655","16","0.099609375","-0.96875","-0.31835938","2.71875","-0.3125","0.96875"
"1573702696655","17","0.103515625","-0.9707031","-0.3154297","4.9375","1.21875","2.125"
"1573702696655","18","0.083984375","-0.9667969","-0.30859375","4.4375","2.5","2.0625"
"1573702696656","19","0.091796875","-0.96972656","-0.30371094","1.15625","5.125","1.21875"
"1573702697052","20","0.08984375","-0.9785156","-0.31054688","-3.90625","4.625","-0.1875"
"1573702697052","21","0.091796875","-0.9707031","-0.32226562","-7.78125","6.21875","-1.25"
"1573702697053","22","0.10449219","-0.9746094","-0.31835938","-10.4375","4.5","-2.46875"
"1573702697053","23","0.111328125","-0.9824219","-0.328125","-9.125","2.78125","-3.5"
"1573702697053","24","0.107421875","-0.9433594","-0.35351562","-5.21875","-1.40625","-5.625"
"1573702697055","25","0.119140625","-0.9472656","-0.33496094","-13.9375","0.09375","-4.90625"
"1573702697055","26","0.1328125","-0.96972656","-0.3544922","4.25","-3.4375","-1.0"
"1573702697055","27","0.12402344","-0.9638672","-0.34765625","2.125","-7.21875","-0.1875"
"1573702697055","28","0.12402344","-0.9355469","-0.35546875","-0.3125","-7.34375","-1.1875"
"1573702697056","29","0.125","-0.96191406","-0.3544922","-0.125","-4.21875","-0.375"
"1573702697448","30","0.103515625","-0.9707031","-0.33203125","-2.53125","-2.625","-2.40625"
"1573702697449","31","0.091796875","-0.99316406","-0.32910156","-5.15625","-0.3125","-3.25"
"1573702697449","32","0.08300781","-0.9921875","-0.33984375","-6.78125","0.03125","-5.375"
"1573702697450","33","0.12402344","-0.9580078","-0.3544922","-3.0625","-3.5","-4.46875"
"1573702697450","34","0.14550781","-0.95703125","-0.3671875","0.09375","-7.59375","-5.03125"
