"# PR data"
"# Start time: 20191114T033507"
"# Subject: teo"
"# Activity type: Knee extension"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573702508038","0","-0.030273438","-1.0126953","0.01953125","0.59375","-1.1875","0.15625"
"1573702508040","1","-0.029296875","-1.0126953","0.018554688","1.6875","-0.3125","-0.0625"
"1573702508040","2","-0.025390625","-1.0166016","0.02734375","0.21875","-1.0625","0.15625"
"1573702508043","3","-0.028320312","-1.0097656","0.0234375","0.28125","-0.9375","0.15625"
"1573702508043","4","-0.028320312","-1.0117188","0.018554688","0.53125","-1.40625","1.03125"
"1573702508044","5","-0.033203125","-1.0185547","0.0234375","-0.375","-1.34375","-0.3125"
"1573702508044","6","-0.0234375","-1.0136719","0.020507812","-0.0625","-0.6875","0.78125"
"1573702508045","7","-0.034179688","-1.0048828","0.016601562","-0.3125","-1.25","-1.0"
"1573702508045","8","-0.032226562","-1.0058594","0.018554688","-7.59375","0.0","-2.09375"
"1573702508046","9","-0.044921875","-1.0205078","0.0107421875","-4.28125","4.9375","-0.875"
"1573702508238","10","-0.044921875","-1.0371094","0.0","-4.21875","7.4375","-0.0625"
"1573702508238","11","-0.0234375","-1.0126953","0.020507812","-7.15625","7.75","-1.96875"
"1573702508239","12","-0.046875","-1.0214844","-9.765625E-4","-13.0625","12.875","-7.59375"
"1573702508240","13","0.015625","-1.0244141","-0.0029296875","-23.15625","9.09375","-14.1875"
"1573702508241","14","0.025390625","-1.0048828","-0.057617188","-29.5","-1.71875","-13.25"
"1573702508241","15","-0.02734375","-0.99609375","-0.08496094","-17.78125","-2.46875","-4.78125"
"1573702508244","16","-0.0107421875","-0.9941406","-0.052734375","-12.53125","2.59375","-0.1875"
"1573702508245","17","-0.0146484375","-1.0087891","-0.0546875","-14.0625","7.90625","-3.3125"
"1573702508245","18","-0.0078125","-1.0048828","-0.07421875","-8.6875","7.96875","-4.53125"
"1573702508245","19","0.009765625","-1.0166016","-0.072265625","-8.8125","5.28125","-4.40625"
"1573702508635","20","0.009765625","-1.0244141","-0.083984375","-13.375","5.71875","-7.09375"
"1573702508636","21","0.017578125","-1.0263672","-0.09375","-9.78125","5.84375","-6.375"
"1573702508636","22","0.033203125","-1.0068359","-0.107421875","-8.6875","4.8125","-2.40625"
"1573702508636","23","0.028320312","-1.015625","-0.12109375","-8.8125","4.5","-2.625"
"1573702508636","24","0.044921875","-1.0205078","-0.15234375","-4.40625","-4.03125","0.65625"
"1573702508637","25","0.036132812","-1.0341797","-0.09375","-4.15625","-6.71875","10.125"
"1573702508638","26","-0.016601562","-0.99121094","-0.06347656","-11.0625","11.53125","5.28125"
"1573702508638","27","-9.765625E-4","-0.9941406","-0.087890625","-8.1875","14.03125","3.28125"
"1573702508638","28","0.02734375","-0.9980469","-0.16894531","-1.25","12.625","4.9375"
"1573702508639","29","0.009765625","-1.0371094","-0.13574219","1.4375","14.625","13.28125"
"1573702509032","30","-0.016601562","-1.0224609","-0.14160156","-4.71875","13.03125","6.875"
"1573702509033","31","0.01171875","-1.0","-0.18457031","-11.0","6.40625","2.65625"
"1573702509033","32","0.0048828125","-0.99902344","-0.20605469","-16.5625","0.21875","-2.40625"
"1573702509034","33","-0.009765625","-1.0136719","-0.16894531","-26.25","8.53125","-2.21875"
"1573702509034","34","-0.041015625","-0.9736328","-0.17089844","-28.40625","8.71875","-7.34375"
"1573702509034","35","-0.0048828125","-0.9658203","-0.17089844","-17.71875","10.0625","-2.53125"
"1573702509034","36","-0.015625","-0.9873047","-0.18652344","-1.96875","12.3125","-5.03125"
"1573702509035","37","-0.0048828125","-0.9892578","-0.21972656","0.28125","11.8125","-3.25"
"1573702509035","38","0.057617188","-1.0068359","-0.21875","9.75","9.4375","2.4375"
"1573702509036","39","0.08691406","-1.0019531","-0.24121094","7.25","1.8125","6.5625"
"1573702509430","40","0.06542969","-0.9921875","-0.24023438","13.09375","-6.59375","10.3125"
"1573702509430","41","-0.01171875","-1.0185547","-0.22265625","17.0","-8.75","13.71875"
"1573702509430","42","-0.059570312","-1.0380859","-0.16113281","25.75","-19.5","20.5625"
"1573702509430","43","-0.025390625","-0.9814453","-0.13476562","25.3125","-17.15625","28.0"
"1573702509431","44","-0.07324219","-0.9873047","-0.140625","21.84375","-0.8125","17.8125"
"1573702509431","45","-0.06933594","-1.0097656","-0.10839844","36.0","-0.0625","11.40625"
"1573702509431","46","-0.08984375","-0.9921875","-0.103515625","30.0","2.5","7.0625"
"1573702509431","47","-0.08203125","-0.97753906","-0.087890625","21.15625","5.21875","4.1875"
"1573702509432","48","-0.056640625","-0.9873047","-0.09082031","14.3125","4.3125","-4.09375"
"1573702509433","49","-0.041992188","-0.9970703","-0.11328125","7.96875","1.3125","-11.1875"
"1573702509827","50","-0.06933594","-0.9921875","-0.1015625","9.8125","4.9375","-5.4375"
"1573702509827","51","-0.07714844","-1.0351562","-0.036132812","7.84375","5.125","-2.28125"
"1573702509827","52","-0.06640625","-1.0234375","-0.041015625","0.90625","-3.0","-12.21875"
"1573702509828","53","9.765625E-4","-1.0322266","-0.07128906","-14.71875","0.65625","-14.125"
"1573702509829","54","0.0068359375","-1.0214844","-0.11035156","-25.40625","4.5625","-22.65625"
"1573702509830","55","0.028320312","-0.9941406","-0.13476562","-31.15625","-3.5625","-13.375"
"1573702509830","56","0.021484375","-1.0","-0.15820312","-24.3125","-3.0","-8.625"
"1573702509830","57","-0.0029296875","-1.0205078","-0.13378906","-18.4375","-5.5","-6.65625"
"1573702509830","58","-0.016601562","-1.0410156","-0.14746094","-20.21875","-4.59375","-6.84375"
"1573702509830","59","-0.0078125","-1.0205078","-0.13671875","-21.0","-2.6875","-8.25"
"1573702510226","60","-0.0107421875","-1.0029297","-0.15820312","-23.09375","-0.75","-7.8125"
"1573702510227","61","0.015625","-1.0078125","-0.171875","-24.75","-0.4375","-8.8125"
"1573702510228","62","0.046875","-0.9658203","-0.17871094","-12.21875","-0.9375","-10.9375"
"1573702510228","63","0.01953125","-0.95996094","-0.20605469","-17.03125","-1.59375","-12.28125"
"1573702510228","64","0.056640625","-1.0","-0.23535156","-4.78125","-2.53125","-7.34375"
"1573702510229","65","0.04296875","-0.99902344","-0.22265625","-3.625","-3.8125","-6.84375"
"1573702510229","66","0.033203125","-1.0068359","-0.22558594","-6.59375","-4.65625","-6.0625"
"1573702510229","67","0.033203125","-1.0029297","-0.22167969","-3.8125","-4.46875","-4.28125"
"1573702510230","68","0.056640625","-0.97753906","-0.2421875","-2.40625","-2.15625","-6.4375"
"1573702510230","69","0.0625","-1.0009766","-0.22460938","-4.46875","-0.5625","-4.28125"
"1573702510822","70","0.043945312","-1.0048828","-0.22949219","-3.75","-1.59375","-5.375"
"1573702510823","71","0.07324219","-0.9746094","-0.234375","-0.3125","-4.34375","-2.15625"
"1573702510823","72","0.059570312","-0.9921875","-0.21386719","2.375","-3.6875","-4.09375"
"1573702510824","73","0.047851562","-0.98828125","-0.23242188","2.1875","-3.0625","-2.8125"
"1573702510824","74","0.078125","-0.9707031","-0.25195312","3.34375","-0.9375","-5.09375"
"1573702510825","75","0.0859375","-1.0292969","-0.2265625","-1.40625","-3.6875","-7.65625"
"1573702510825","76","0.043945312","-1.0136719","-0.24316406","2.59375","-7.34375","-4.03125"
"1573702510825","77","0.078125","-0.9863281","-0.21875","12.125","-7.65625","-1.71875"
"1573702510825","78","0.08984375","-0.99121094","-0.22167969","10.0625","-6.125","-3.96875"
"1573702510826","79","0.060546875","-1.0175781","-0.22460938","7.0","-7.875","-3.0"
"1573702511219","80","0.11230469","-0.99609375","-0.1796875","12.75","-10.09375","-0.9375"
"1573702511219","81","0.060546875","-0.9824219","-0.18847656","8.59375","-11.1875","-6.25"
"1573702511220","82","0.06738281","-1.0039062","-0.203125","16.09375","-14.0","-3.8125"
"1573702511220","83","0.109375","-0.9785156","-0.16308594","4.25","-5.21875","-2.6875"
"1573702511220","84","0.056640625","-1.015625","-0.16992188","-3.5","-2.9375","-4.59375"
"1573702511221","85","0.078125","-1.0263672","-0.18261719","6.9375","-4.21875","0.15625"
"1573702511222","86","0.09375","-1.015625","-0.14941406","8.34375","-4.28125","-1.90625"
"1573702511222","87","0.037109375","-1.0029297","-0.171875","5.53125","-7.875","0.96875"
"1573702511223","88","0.1015625","-1.0039062","-0.17578125","13.09375","-8.8125","5.65625"
