"# PR data"
"# Start time: 20191114T034057"
"# Subject: teo"
"# Activity type: Shoulder press"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573702857441","0","0.109375","-0.99316406","-0.24609375","-1.71875","0.03125","-0.8125"
"1573702857443","1","0.1171875","-0.98828125","-0.24902344","-2.59375","0.28125","-0.5"
"1573702857443","2","0.11035156","-0.984375","-0.24804688","-2.625","1.21875","-0.6875"
"1573702857443","3","0.11816406","-0.9873047","-0.25585938","-3.3125","1.4375","-0.25"
"1573702857443","4","0.11816406","-0.9921875","-0.25976562","-2.21875","1.03125","0.40625"
"1573702857444","5","0.12207031","-0.98339844","-0.2578125","-5.09375","0.28125","0.21875"
"1573702857444","6","0.12207031","-0.9873047","-0.25585938","-4.59375","1.5","1.4375"
"1573702857444","7","0.11328125","-0.9794922","-0.26953125","1.875","-0.8125","1.875"
"1573702857444","8","0.11328125","-0.953125","-0.25195312","-11.375","-2.03125","0.34375"
"1573702857445","9","0.10839844","-1.0039062","-0.2763672","3.21875","1.03125","1.875"
"1573702857641","10","0.09375","-0.9873047","-0.2685547","-3.3125","-0.5625","-1.0"
"1573702857642","11","0.109375","-0.97753906","-0.2607422","-3.6875","0.0","-1.71875"
"1573702857642","12","0.11230469","-0.98339844","-0.27246094","-1.71875","0.84375","-2.46875"
"1573702857644","13","0.12109375","-0.98535156","-0.27539062","-1.3125","2.65625","-1.0625"
"1573702857645","14","0.12792969","-0.9794922","-0.2734375","-1.71875","0.96875","0.21875"
"1573702857645","15","0.09765625","-0.9707031","-0.28222656","1.15625","1.5","-0.5625"
"1573702857645","16","0.099609375","-0.98046875","-0.27246094","0.28125","7.1875","-1.59375"
"1573702857646","17","0.17578125","-1.0029297","-0.28027344","0.59375","3.34375","5.46875"
"1573702857646","18","0.15527344","-0.98046875","-0.27441406","-4.71875","-3.125","6.5625"
"1573702857646","19","0.09765625","-0.953125","-0.29882812","-3.90625","-6.3125","4.875"
"1573702858038","20","0.10253906","-0.9589844","-0.28125","6.5","0.71875","9.25"
"1573702858038","21","0.07910156","-1.0097656","-0.28125","5.71875","-1.125","6.8125"
