"# PR data"
"# Start time: 20191114T113744"
"# Subject: zoe"
"# Activity type: Squats"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573731464568","0","-0.1015625","-0.9785156","-0.25390625","-3.25","0.96875","-2.875"
"1573731464569","1","-0.10449219","-0.98339844","-0.24121094","-1.1875","0.21875","-1.53125"
"1573731464569","2","-0.1015625","-0.9824219","-0.22949219","-1.0","2.96875","-1.53125"
"1573731464569","3","-0.09765625","-0.9794922","-0.24609375","0.65625","3.46875","-1.59375"
"1573731464570","4","-0.09082031","-0.9863281","-0.24023438","-1.34375","4.25","-0.6875"
"1573731464572","5","-0.08105469","-0.9765625","-0.24121094","-2.59375","4.125","0.15625"
"1573731464573","6","-0.09765625","-0.98535156","-0.25097656","-0.25","2.0","0.0"
"1573731464573","7","-0.1015625","-0.9892578","-0.24023438","-1.59375","-0.75","1.3125"
"1573731464573","8","-0.10546875","-0.97558594","-0.24707031","-3.3125","3.28125","0.09375"
"1573731464574","9","-0.10546875","-0.9863281","-0.25390625","-3.375","2.65625","0.21875"
"1573731464768","10","-0.09472656","-0.9824219","-0.25","-3.0625","0.65625","-0.375"
"1573731464768","11","-0.09765625","-0.98046875","-0.25097656","-4.09375","1.15625","-0.3125"
"1573731464768","12","-0.095703125","-0.9667969","-0.24707031","-3.1875","-0.0625","0.46875"
"1573731464769","13","-0.111328125","-0.9892578","-0.2578125","-0.9375","1.375","0.0"
"1573731464769","14","-0.09667969","-0.9785156","-0.25878906","-1.71875","2.0","-0.6875"
"1573731464769","15","-0.10449219","-0.98046875","-0.25878906","-1.125","1.8125","-0.9375"
"1573731464770","16","-0.111328125","-0.98046875","-0.24707031","-1.0","2.0625","-2.09375"
"1573731464770","17","-0.09765625","-0.9814453","-0.2529297","-2.75","0.71875","-3.1875"
"1573731464770","18","-0.103515625","-0.9746094","-0.20703125","-3.5","1.09375","-1.125"
"1573731464770","19","-0.10449219","-0.9873047","-0.24902344","-3.5","0.21875","-2.09375"
"1573731465562","20","-0.09863281","-0.9863281","-0.26367188","-0.5","-1.53125","-0.6875"
"1573731465562","21","-0.09472656","-0.9863281","-0.2578125","-5.5625","-0.1875","1.09375"
"1573731465563","22","-0.11328125","-0.9736328","-0.2607422","-4.09375","1.625","0.0"
"1573731465563","23","-0.107421875","-0.96972656","-0.2734375","-5.5625","1.9375","0.0"
"1573731465563","24","-0.09765625","-0.9716797","-0.2685547","-6.0","1.75","-0.4375"
"1573731465565","25","-0.10546875","-0.9794922","-0.27441406","-7.03125","1.625","-0.5625"
"1573731465565","26","-0.109375","-0.9746094","-0.26367188","-7.65625","2.4375","-0.4375"
"1573731465565","27","-0.10546875","-0.98046875","-0.2783203","-6.90625","2.90625","-0.5"
"1573731465566","28","-0.09667969","-0.9707031","-0.2763672","-6.84375","2.90625","-1.78125"
"1573731465566","29","-0.107421875","-0.98046875","-0.2919922","-5.15625","1.9375","-0.75"
"1573731465759","30","-0.10546875","-0.9707031","-0.29785156","-4.09375","0.0","0.40625"
"1573731465759","31","-0.09863281","-0.96972656","-0.29492188","-5.3125","0.96875","0.53125"
"1573731465760","32","-0.103515625","-0.9736328","-0.28320312","-4.15625","1.9375","0.03125"
"1573731465760","33","-0.10058594","-0.96875","-0.29101562","-4.84375","0.15625","-1.25"
"1573731465760","34","-0.10253906","-0.9667969","-0.2939453","-5.15625","-0.0625","-1.0625"
"1573731465760","35","-0.10253906","-0.96875","-0.296875","-4.28125","1.3125","-1.53125"
"1573731465761","36","-0.1015625","-0.98535156","-0.2939453","-5.4375","1.28125","-0.1875"
"1573731465762","37","-0.10253906","-0.9609375","-0.29589844","-2.6875","2.59375","-0.125"
"1573731465762","38","-0.111328125","-0.97753906","-0.3203125","-1.96875","-0.0625","-1.84375"
"1573731465763","39","-0.11035156","-0.97265625","-0.3251953","-2.9375","-0.5625","0.21875"
"1573731466751","40","-0.09863281","-0.9667969","-0.296875","-1.125","-0.5625","1.09375"
"1573731466753","41","-0.11035156","-0.9863281","-0.3017578","-2.6875","0.96875","0.65625"
"1573731466754","42","-0.09863281","-0.9628906","-0.29882812","-2.9375","0.46875","-0.3125"
"1573731466754","43","-0.091796875","-0.9794922","-0.3046875","-1.25","-3.4375","1.5"
"1573731466754","44","-0.10449219","-0.96875","-0.28808594","-1.40625","-4.53125","2.65625"
"1573731466755","45","-0.10449219","-0.97558594","-0.3076172","-0.0625","-4.21875","3.65625"
