"# PR data"
"# Start time: 20191114T115154"
"# Subject: zoe"
"# Activity type: Walking"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573732315059","0","-0.08105469","-1.0869141","-0.45996094","21.34375","36.0625","14.375"
"1573732315059","1","-0.09082031","-0.9980469","-0.36621094","20.0","14.8125","12.0625"
"1573732315059","2","-0.25097656","-0.9560547","-0.34570312","23.125","14.375","20.4375"
"1573732315060","3","-0.28027344","-0.91503906","-0.34472656","19.6875","23.4375","24.71875"
"1573732315060","4","-0.22070312","-0.9394531","-0.34179688","15.1875","27.6875","18.53125"
"1573732315060","5","-0.22558594","-0.9589844","-0.3232422","19.53125","29.40625","9.5625"
"1573732315060","6","-0.19726562","-0.921875","-0.29882812","20.125","32.6875","4.3125"
"1573732315061","7","-0.21484375","-0.94433594","-0.31347656","16.34375","26.78125","-0.4375"
"1573732315061","8","-0.24023438","-0.92285156","-0.28710938","21.78125","21.34375","0.71875"
"1573732315061","9","-0.24316406","-0.9511719","-0.2607422","22.6875","28.0625","3.34375"
"1573732315653","10","-0.24804688","-0.92285156","-0.265625","20.90625","20.8125","0.03125"
"1573732315654","11","-0.36035156","-0.9560547","-0.23144531","36.25","22.125","3.71875"
"1573732315654","12","-0.34375","-0.9628906","-0.17480469","29.15625","37.03125","2.96875"
"1573732315655","13","-0.31445312","-0.9628906","-0.16210938","20.0625","43.5625","-0.25"
"1573732315655","14","-0.2734375","-0.9550781","-0.13769531","19.875","43.875","-4.34375"
"1573732315656","15","-0.19433594","-0.9814453","-0.13574219","8.03125","40.9375","-7.53125"
"1573732315656","16","-0.12402344","-1.0302734","-0.18261719","5.21875","35.5","-9.21875"
"1573732315656","17","-0.15820312","-1.0224609","-0.12109375","4.6875","35.03125","-6.78125"
"1573732315656","18","-0.21875","-0.9550781","-0.12695312","9.25","36.3125","-1.0"
"1573732315656","19","-0.24023438","-0.9511719","-0.10839844","5.34375","40.5","2.78125"
"1573732315852","20","-0.2265625","-0.9892578","-0.11816406","1.8125","33.3125","2.71875"
"1573732315853","21","-0.20507812","-0.97753906","-0.1015625","3.65625","28.5625","-1.0625"
"1573732315853","22","-0.17382812","-0.97265625","-0.115234375","0.34375","22.6875","-1.90625"
"1573732315853","23","-0.19433594","-0.9765625","-0.13574219","-0.0625","18.90625","-0.8125"
"1573732315853","24","-0.19921875","-0.9814453","-0.125","-0.4375","18.90625","1.375"
"1573732315855","25","-0.21972656","-0.9785156","-0.12890625","1.21875","18.21875","2.4375"
"1573732315856","26","-0.21972656","-0.9794922","-0.12792969","0.53125","22.4375","3.65625"
"1573732315856","27","-0.23925781","-0.9765625","-0.14550781","13.40625","24.9375","4.4375"
"1573732315856","28","-0.22949219","-0.9628906","-0.12890625","4.3125","33.96875","4.0"
"1573732315857","29","-0.22265625","-0.98828125","-0.15917969","8.59375","38.625","7.375"
"1573732316251","30","-0.2529297","-0.9589844","-0.15722656","14.8125","48.09375","8.46875"
"1573732316252","31","-0.27539062","-0.96191406","-0.13769531","16.09375","54.78125","9.6875"
"1573732316252","32","-0.2890625","-0.9580078","-0.15136719","17.875","61.09375","9.6875"
