"# PR data"
"# Start time: 20191114T114114"
"# Subject: zoe"
"# Activity type: Bicep curl"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573731674847","0","-0.19726562","-0.97265625","-0.2421875","-0.8125","-2.6875","-4.84375"
"1573731674847","1","-0.18359375","-0.95996094","-0.30371094","10.90625","21.59375","-2.9375"
"1573731674848","2","-0.15136719","-0.9814453","-0.19433594","15.96875","38.75","4.4375"
"1573731674848","3","-0.19238281","-1.0019531","-0.1875","22.25","32.28125","7.25"
"1573731674848","4","-0.22851562","-1.0078125","-0.14746094","7.125","19.46875","-2.8125"
"1573731674848","5","-0.18847656","-0.96777344","-0.17578125","-1.125","12.875","-7.03125"
"1573731674849","6","-0.18066406","-0.9814453","-0.16992188","-0.1875","14.6875","-5.5"
"1573731674849","7","-0.21582031","-0.9824219","-0.16601562","4.6875","17.1875","-6.125"
"1573731674849","8","-0.17480469","-0.98046875","-0.123046875","-8.75","19.75","-10.4375"
"1573731674849","9","-0.14648438","-0.9921875","-0.04296875","-8.75","-12.65625","-6.4375"
"1573731675244","10","-0.17480469","-0.9707031","-0.16308594","-7.28125","-13.4375","-6.65625"
"1573731675245","11","-0.19726562","-0.97265625","-0.21484375","-9.96875","-15.28125","-10.8125"
"1573731675245","12","-0.19238281","-0.99609375","-0.21386719","-8.375","-6.59375","-11.4375"
"1573731675246","13","-0.14257812","-0.9716797","-0.18554688","-13.75","5.84375","-6.71875"
"1573731675247","14","-0.14746094","-0.9980469","-0.22851562","-4.34375","7.625","-0.5"
"1573731675247","15","-0.15039062","-0.9863281","-0.18554688","-7.65625","4.625","-1.96875"
"1573731675248","16","-0.119140625","-0.96777344","-0.22753906","-2.6875","2.3125","-1.71875"
"1573731675248","17","-0.12597656","-0.9902344","-0.23046875","-4.34375","-2.75","-0.8125"
"1573731675248","18","-0.125","-0.9638672","-0.22949219","-1.25","-1.90625","-0.75"
"1573731675248","19","-0.16308594","-0.96972656","-0.23535156","1.28125","-1.25","-0.3125"
"1573731675840","20","-0.125","-0.984375","-0.22265625","2.0625","2.90625","-0.125"
"1573731675841","21","-0.12890625","-0.9794922","-0.21484375","1.03125","-6.71875","1.8125"
"1573731675841","22","-0.12890625","-0.96484375","-0.24316406","1.5","-0.375","-1.0"
"1573731675842","23","-0.14648438","-0.98046875","-0.23535156","0.28125","-4.96875","0.21875"
"1573731675842","24","-0.13964844","-0.97265625","-0.20214844","-1.96875","1.625","-3.5"
"1573731675843","25","-0.15820312","-1.0087891","-0.24511719","-0.75","-4.90625","-2.21875"
"1573731675844","26","-0.16699219","-0.9638672","-0.19824219","-2.625","-0.375","-6.96875"
"1573731675844","27","-0.13964844","-1.0146484","-0.22167969","-4.65625","-1.25","-5.9375"
"1573731675844","28","-0.16113281","-0.96191406","-0.20214844","-4.71875","-0.1875","-4.90625"
"1573731675845","29","-0.140625","-1.0039062","-0.21582031","-4.84375","1.5625","-3.875"
"1573731676039","30","-0.1484375","-0.95703125","-0.21582031","-0.6875","1.03125","-3.96875"
"1573731676040","31","-0.13183594","-1.0136719","-0.20898438","-3.625","4.0625","-2.28125"
"1573731676040","32","-0.13574219","-0.9667969","-0.21386719","0.78125","-1.59375","-2.59375"
"1573731676040","33","-0.13769531","-0.9892578","-0.21875","-2.15625","-0.0625","-0.625"
"1573731676041","34","-0.1328125","-0.98828125","-0.21191406","-1.25","-0.9375","-1.25"
"1573731676041","35","-0.12402344","-0.97558594","-0.21191406","-0.25","-5.625","0.78125"
"1573731676041","36","-0.13964844","-0.984375","-0.21972656","-3.625","-8.625","1.09375"
"1573731676043","37","-0.13867188","-0.984375","-0.20898438","-1.25","-5.75","0.96875"
"1573731676043","38","-0.15039062","-0.9873047","-0.2109375","-0.875","-6.0","1.03125"
"1573731676043","39","-0.15917969","-0.98339844","-0.17871094","-0.875","-3.375","0.03125"
"1573731676436","40","-0.16308594","-0.9824219","-0.20703125","2.71875","1.15625","2.78125"
"1573731676436","41","-0.15527344","-0.97753906","-0.1953125","-0.5","4.5","1.21875"
"1573731676436","42","-0.14160156","-0.9873047","-0.20117188","-0.0625","-0.375","2.0"
"1573731676437","43","-0.15820312","-0.9824219","-0.1875","3.21875","2.96875","1.3125"
"1573731676437","44","-0.1484375","-0.9824219","-0.20996094","1.21875","0.0","0.09375"
"1573731676437","45","-0.15039062","-0.98535156","-0.17773438","-3.3125","1.625","0.65625"
"1573731676437","46","-0.15136719","-0.99902344","-0.21191406","-0.75","0.46875","0.0"
"1573731676438","47","-0.14648438","-0.984375","-0.20800781","-1.0","3.15625","-0.375"
"1573731676438","48","-0.15136719","-0.98339844","-0.19628906","0.65625","5.34375","0.65625"
"1573731676439","49","-0.15917969","-0.9873047","-0.19824219","-0.75","2.3125","-1.3125"
"1573731676833","50","-0.14746094","-0.9824219","-0.1953125","-1.65625","4.25","-2.09375"
"1573731676834","51","-0.15820312","-0.98339844","-0.1953125","-2.40625","4.5","-1.84375"
"1573731676834","52","-0.14941406","-0.9951172","-0.20410156","-2.03125","3.03125","-1.90625"
"1573731676834","53","-0.13769531","-0.9892578","-0.19921875","-0.125","-0.375","-0.75"
"1573731676834","54","-0.13867188","-0.9736328","-0.18945312","-1.125","-1.1875","0.0"
"1573731676835","55","-0.15917969","-0.984375","-0.20800781","-1.84375","-1.3125","-0.1875"
"1573731676835","56","-0.14648438","-0.98339844","-0.20703125","-2.28125","-2.46875","-0.6875"
"1573731676835","57","-0.13964844","-0.9667969","-0.19921875","-3.0","0.46875","-1.0625"
"1573731676835","58","-0.11425781","-1.0039062","-0.20507812","-1.3125","-0.875","1.3125"
"1573731676836","59","-0.14453125","-0.98046875","-0.1953125","-2.46875","-2.34375","-0.8125"
"1573731677234","60","-0.16210938","-0.984375","-0.20507812","-5.15625","-2.8125","-3.375"
"1573731677235","61","-0.16699219","-0.9863281","-0.20703125","-3.5","-2.28125","-2.9375"
"1573731677236","62","-0.15234375","-0.9667969","-0.18945312","-8.3125","-1.0625","-3.375"
"1573731677236","63","-0.16699219","-0.99609375","-0.24609375","0.28125","0.0","-1.46875"
"1573731677236","64","-0.10839844","-0.96777344","-0.25976562","1.4375","0.03125","-0.5"
"1573731677237","65","-0.15625","-0.9980469","-0.23242188","2.84375","2.5625","0.15625"
"1573731677237","66","-0.12402344","-0.96972656","-0.21679688","2.5","3.90625","0.71875"
"1573731677237","67","-0.14746094","-0.9980469","-0.19921875","1.4375","0.96875","1.6875"
"1573731677238","68","-0.14550781","-0.9892578","-0.19628906","0.46875","-0.3125","0.0"
"1573731677238","69","-0.15039062","-0.9892578","-0.19628906","-1.1875","-0.6875","-1.96875"
"1573731677629","70","-0.16113281","-0.97753906","-0.19824219","-1.34375","-1.25","-1.40625"
"1573731677630","71","-0.16601562","-0.9794922","-0.1875","-2.21875","-0.5","-0.6875"
"1573731677630","72","-0.16503906","-0.97558594","-0.1796875","-2.15625","4.0","0.96875"
"1573731677631","73","-0.15722656","-0.98828125","-0.16601562","-0.875","3.15625","1.625"
"1573731677632","74","-0.15917969","-0.9785156","-0.19140625","0.65625","0.03125","2.90625"
