"# PR data"
"# Start time: 20191114T113547"
"# Subject: zoe"
"# Activity type: Knee extension"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573731347307","0","-0.125","-0.90625","0.14648438","-36.28125","-11.5","2.125"
"1573731347307","1","-0.19628906","-1.1328125","0.119140625","-60.8125","-13.9375","5.78125"
"1573731347308","2","-0.1640625","-1.1796875","0.1953125","-93.75","-2.59375","5.53125"
"1573731347308","3","-0.15722656","-1.0751953","0.14648438","-93.46875","-13.125","6.9375"
"1573731347309","4","-0.17285156","-0.9511719","0.09667969","-76.96875","-20.15625","-5.5625"
"1573731347309","5","-0.13671875","-0.9345703","0.03515625","-53.0625","-31.15625","-12.03125"
"1573731347309","6","-0.16503906","-0.9785156","0.0107421875","-18.6875","-14.34375","-3.625"
"1573731347309","7","-0.17675781","-1.0078125","-0.07519531","-9.65625","-2.75","-2.6875"
"1573731347310","8","-0.10546875","-0.99121094","-0.11425781","-19.90625","-0.625","-3.8125"
"1573731347310","9","-0.11328125","-0.99609375","-0.12402344","-31.5625","-1.59375","4.9375"
"1573731348099","10","-0.17285156","-0.9765625","-0.0859375","-31.25","6.8125","8.46875"
"1573731348100","11","-0.12597656","-0.9609375","-0.15527344","-16.75","-3.0","2.96875"
"1573731348100","12","-0.20800781","-1.0107422","-0.13964844","-13.6875","-0.1875","3.65625"
"1573731348102","13","-0.17871094","-0.9902344","-0.14550781","-1.25","-3.1875","3.34375"
"1573731348102","14","-0.18945312","-0.9921875","-0.18261719","-11.3125","-4.90625","3.21875"
"1573731348102","15","-0.19335938","-0.9873047","-0.17675781","7.3125","-5.625","-0.1875"
"1573731348102","16","-0.17382812","-0.9765625","-0.13769531","-7.28125","-9.34375","-3.5"
"1573731348103","17","-0.15234375","-0.98046875","-0.12988281","-10.40625","-7.65625","-9.125"
"1573731348103","18","-0.15527344","-0.97558594","-0.15332031","-8.9375","-7.65625","-11.6875"
"1573731348103","19","-0.14453125","-0.9970703","-0.14355469","-12.96875","-3.1875","-13.8125"
"1573731348298","20","-0.15332031","-1.0087891","-0.14550781","-9.46875","2.84375","-13.0625"
"1573731348299","21","-0.14746094","-1.0087891","-0.16699219","-12.03125","0.84375","-16.8125"
"1573731348299","22","-0.12207031","-1.0029297","-0.18847656","-12.90625","-1.53125","-18.6875"
"1573731348299","23","-0.076171875","-0.9814453","-0.17871094","-12.59375","-0.8125","-8.5"
"1573731348299","24","-0.08691406","-0.98828125","-0.18359375","-28.28125","-2.15625","-2.875"
"1573731348301","25","-0.0625","-0.96875","-0.23925781","-24.5","-2.15625","-3.96875"
"1573731348301","26","-0.06738281","-1.0146484","-0.25195312","-27.0625","-1.3125","-4.34375"
"1573731348301","27","-0.07714844","-0.9609375","-0.25","-10.03125","4.75","-3.96875"
"1573731348302","28","-0.10449219","-0.98046875","-0.28515625","-14.34375","-0.75","-3.375"
"1573731348302","29","-0.14648438","-0.9580078","-0.25585938","7.625","19.34375","0.28125"
"1573731348698","30","-0.08984375","-0.9667969","-0.25976562","-9.71875","19.6875","-0.375"
"1573731348699","31","-0.125","-0.98046875","-0.25","3.09375","12.25","4.0625"
"1573731348699","32","-0.08984375","-0.9941406","-0.28320312","1.5625","12.375","3.71875"
"1573731348699","33","-0.11816406","-1.0244141","-0.23632812","-10.6875","5.96875","2.96875"
"1573731348699","34","-0.10644531","-0.9550781","-0.20605469","-1.78125","0.84375","1.875"
"1573731348700","35","-0.091796875","-0.96484375","-0.28515625","-1.3125","-5.3125","0.34375"
"1573731348700","36","-0.11425781","-0.9863281","-0.22949219","9.375","0.0","3.46875"
"1573731348701","37","-0.11621094","-0.93652344","-0.20117188","13.28125","1.375","-1.65625"
"1573731348702","38","-0.111328125","-1.0068359","-0.24316406","12.4375","-0.3125","4.0625"
"1573731348702","39","-0.11230469","-0.98535156","-0.20703125","13.84375","1.4375","7.375"
"1573731348896","40","-0.11621094","-1.0039062","-0.22265625","10.78125","-3.4375","6.875"
"1573731348897","41","-0.12207031","-0.9814453","-0.20410156","6.46875","0.46875","3.90625"
"1573731348897","42","-0.12011719","-0.9589844","-0.19824219","2.96875","-1.0","0.71875"
"1573731348897","43","-0.16503906","-0.99902344","-0.20410156","3.9375","-3.3125","3.34375"
"1573731348898","44","-0.15722656","-0.9785156","-0.20410156","-0.0625","-3.0625","3.03125"
"1573731348898","45","-0.15234375","-0.9902344","-0.19238281","-3.96875","0.59375","6.28125"
"1573731348898","46","-0.12011719","-0.9814453","-0.20996094","-2.46875","4.0625","2.0625"
"1573731348899","47","-0.12597656","-1.0097656","-0.22363281","-6.96875","4.375","0.21875"
"1573731348899","48","-0.17382812","-0.99121094","-0.17480469","-9.53125","9.75","-0.5"
"1573731348900","49","-0.14355469","-0.9707031","-0.22167969","-8.9375","8.65625","-9.21875"
"1573731349294","50","-0.125","-0.97558594","-0.19628906","-1.65625","6.15625","-6.5"
"1573731349295","51","-0.12109375","-0.9736328","-0.22265625","0.78125","4.6875","-4.09375"
"1573731349295","52","-0.13476562","-0.99902344","-0.20800781","-6.25","2.78125","-2.59375"
"1573731349295","53","-0.12792969","-0.9785156","-0.21582031","-3.0","7.96875","-2.46875"
"1573731349296","54","-0.12109375","-0.9785156","-0.23925781","13.40625","12.25","-4.71875"
"1573731349296","55","-0.10058594","-0.9902344","-0.21777344","2.90625","9.9375","-5.3125"
"1573731349296","56","-0.12988281","-1.0048828","-0.16210938","5.46875","6.09375","-7.03125"
"1573731349296","57","-0.083984375","-0.9794922","-0.21972656","-0.75","0.90625","-9.0625"
"1573731349297","58","-0.08886719","-0.98828125","-0.17871094","3.21875","4.5625","-7.46875"
"1573731349297","59","-0.13867188","-0.9902344","-0.17773438","1.4375","3.21875","-1.90625"
"1573731349890","60","-0.046875","-0.8691406","-0.23632812","-1.65625","-13.875","-12.84375"
"1573731349891","61","-0.15332031","-1.0722656","-0.17871094","11.40625","12.25","13.96875"
"1573731349891","62","-0.09667969","-1.0039062","-0.19921875","-20.71875","6.21875","-2.46875"
"1573731349892","63","-0.076171875","-0.9921875","-0.20996094","-4.21875","6.40625","0.40625"
"1573731349892","64","-0.10546875","-0.96972656","-0.20898438","1.6875","-5.75","3.53125"
"1573731349892","65","-0.14941406","-1.0429688","-0.18457031","-9.15625","1.15625","5.46875"
"1573731349893","66","-0.07910156","-0.95410156","-0.23730469","-12.59375","0.03125","-4.59375"
"1573731349893","67","-0.087890625","-0.9941406","-0.21582031","-5.875","2.3125","-2.75"
"1573731349893","68","-0.08886719","-0.9765625","-0.22460938","-4.21875","4.875","-9.96875"
"1573731349896","69","-0.09277344","-0.98339844","-0.21386719","-3.5625","-2.03125","-6.59375"
"1573731350089","70","-0.140625","-1.0068359","-0.20800781","-2.8125","5.53125","6.15625"
"1573731350089","71","-0.09082031","-0.9814453","-0.23339844","-10.34375","2.0625","-1.78125"
"1573731350090","72","-0.07910156","-0.9589844","-0.22363281","-4.28125","-1.3125","5.34375"
"1573731350091","73","-0.12207031","-1.0029297","-0.19921875","-9.71875","8.65625","4.25"
"1573731350092","74","-0.107421875","-0.9736328","-0.23632812","14.09375","-0.9375","-0.1875"
"1573731350092","75","-0.09277344","-1.0029297","-0.20703125","4.8125","8.15625","2.5625"
"1573731350092","76","-0.13085938","-0.9951172","-0.19335938","0.15625","1.75","2.65625"
"1573731350092","77","-0.111328125","-1.0009766","-0.22851562","-5.25","3.28125","-1.46875"
"1573731350093","78","-0.1171875","-0.96875","-0.23925781","-3.1875","-4.40625","0.0"
"1573731350093","79","-0.14746094","-1.0546875","-0.17480469","-9.15625","-6.78125","-4.21875"
"1573731350487","80","-0.055664062","-0.9316406","-0.28710938","-3.875","-20.34375","-16.625"
"1573731350488","81","-0.10253906","-0.9921875","-0.18554688","13.34375","-15.6875","-2.6875"
"1573731350488","82","-0.12890625","-0.9433594","-0.19824219","2.25","-17.28125","-12.65625"
"1573731350488","83","-0.057617188","-0.9667969","-0.2734375","-2.46875","-9.40625","-0.6875"
"1573731350489","84","-0.13085938","-1.0244141","-0.140625","7.5","1.5","0.46875"
"1573731350489","85","-0.07519531","-0.95703125","-0.21679688","5.0625","-6.78125","0.0"
"1573731350489","86","-0.11816406","-0.9921875","-0.16992188","6.28125","11.9375","10.25"
"1573731350489","87","-0.099609375","-0.9707031","-0.19335938","13.03125","2.1875","4.5625"
