"# PR data"
"# Start time: 20191114T114547"
"# Subject: zoe"
"# Activity type: Leg slide"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573731947131","0","-0.18652344","-0.9638672","0.036132812","-8.1875","11.53125","-2.15625"
"1573731947131","1","-0.19433594","-0.9736328","0.015625","-4.15625","5.71875","-2.03125"
"1573731947132","2","-0.19628906","-0.95996094","0.029296875","-8.25","-0.4375","-1.0625"
"1573731947132","3","-0.22167969","-0.93847656","0.0107421875","-5.15625","3.34375","1.15625"
"1573731947132","4","-0.23828125","-0.9189453","0.02734375","1.8125","3.71875","4.4375"
"1573731947132","5","-0.23144531","-0.9238281","-0.0078125","8.84375","-9.46875","14.8125"
"1573731947133","6","-0.21484375","-1.0605469","-0.029296875","6.875","-1.90625","15.65625"
"1573731947133","7","-0.21289062","-1.0654297","-0.024414062","22.09375","-1.1875","10.46875"
"1573731947133","8","-0.24902344","-1.0166016","-0.0078125","15.4375","-16.0","8.90625"
"1573731947133","9","-0.24804688","-0.97558594","-0.026367188","-0.9375","-19.5","7.375"
"1573731947136","10","-0.28125","-0.91503906","-0.021484375","-12.84375","-16.4375","4.0"
"1573731947139","11","-0.33398438","-0.9892578","-0.01171875","-15.09375","-10.625","5.21875"
"1573731947139","12","-0.31445312","-1.0048828","0.05078125","-10.9375","-0.5625","6.03125"
"1573731947139","13","-0.30371094","-0.96191406","0.033203125","-6.25","-1.34375","6.8125"
"1573731947140","14","-0.26757812","-0.9345703","0.022460938","-4.71875","6.75","0.90625"
"1573731947140","15","-0.27148438","-0.96777344","0.018554688","-6.53125","4.0","-0.375"
"1573731947140","16","-0.25976562","-0.9814453","0.037109375","-4.84375","3.03125","0.84375"
"1573731947141","17","-0.26464844","-0.91015625","0.12988281","3.84375","-5.03125","11.15625"
"1573731947141","18","-0.29296875","-0.9902344","0.044921875","19.75","-11.1875","14.3125"
"1573731947141","19","-0.2421875","-1.0195312","0.001953125","1.5","2.375","9.03125"
"1573731947531","20","-0.21582031","-0.984375","0.025390625","5.71875","-4.90625","5.0625"
"1573731947531","21","-0.2607422","-0.9785156","0.059570312","-3.25","-8.5625","-0.75"
"1573731947532","22","-0.26464844","-0.9921875","0.034179688","-10.34375","-10.5625","-3.875"
"1573731947532","23","-0.2685547","-0.9765625","0.029296875","-17.21875","-3.8125","-3.625"
"1573731947532","24","-0.23046875","-0.9785156","0.0078125","-14.71875","-4.53125","-2.625"
"1573731947532","25","-0.25585938","-0.98339844","0.030273438","-18.6875","-10.625","-3.6875"
"1573731947533","26","-0.2529297","-0.98046875","0.015625","-20.15625","-5.5","-7.28125"
"1573731947533","27","-0.25976562","-0.9638672","9.765625E-4","-22.0","-1.96875","-8.375"
"1573731947533","28","-0.24414062","-0.95996094","-0.001953125","-23.9375","-4.15625","-8.0"
"1573731947533","29","-0.25","-0.9589844","-0.037109375","-20.65625","-4.78125","-5.5625"
"1573731947929","30","-0.2626953","-0.9667969","-0.04296875","-16.5625","-5.875","-4.84375"
"1573731947929","31","-0.26953125","-0.9589844","-0.0390625","-11.1875","-2.46875","-3.5625"
"1573731947929","32","-0.2734375","-0.9716797","-0.0390625","-7.875","0.21875","-3.3125"
"1573731947930","33","-0.27148438","-0.97558594","-0.059570312","-5.5625","4.8125","-3.625"
"1573731947930","34","-0.25390625","-0.9716797","-0.046875","-3.4375","6.28125","-3.625"
"1573731947930","35","-0.24707031","-0.9794922","-0.049804688","3.78125","8.84375","-2.09375"
"1573731947930","36","-0.2421875","-0.9736328","-0.0625","4.0625","10.25","-2.6875"
"1573731947931","37","-0.21777344","-0.98339844","-0.06640625","8.59375","10.46875","-2.53125"
"1573731947931","38","-0.23535156","-0.9814453","-0.049804688","11.8125","10.1875","-2.03125"
"1573731947931","39","-0.22753906","-0.9921875","-0.038085938","7.0","13.53125","-4.21875"
"1573731948328","40","-0.234375","-0.99121094","-0.034179688","2.96875","11.71875","-4.15625"
"1573731948329","41","-0.24023438","-0.9863281","-0.03515625","-1.125","12.3125","-5.15625"
"1573731948329","42","-0.24511719","-0.98046875","-0.001953125","-6.5","11.65625","-6.65625"
"1573731948329","43","-0.24316406","-0.9667969","-0.033203125","-9.28125","4.375","-6.3125"
"1573731948330","44","-0.24121094","-0.9716797","-0.032226562","-3.6875","6.75","-4.34375"
"1573731948330","45","-0.24902344","-0.96777344","-0.05078125","-5.5625","4.6875","-3.0625"
"1573731948330","46","-0.25097656","-0.96875","-0.052734375","-2.21875","6.625","-3.0625"
"1573731948330","47","-0.23535156","-0.9892578","-0.051757812","0.15625","3.78125","-3.25"
"1573731948331","48","-0.23144531","-0.9824219","-0.051757812","2.71875","0.15625","-3.75"
"1573731948332","49","-0.21289062","-0.97753906","-0.06542969","3.15625","-3.90625","-2.8125"
"1573731948725","50","-0.23242188","-0.9765625","-0.043945312","3.84375","-2.625","-1.125"
"1573731948726","51","-0.22558594","-0.96191406","-0.053710938","2.71875","-0.6875","-0.875"
