"# PR data"
"# Start time: 20191114T113414"
"# Subject: zoe"
"# Activity type: Sit to stand"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573731254490","0","-0.21679688","-1.0244141","-0.005859375","-42.25","-7.53125","28.375"
"1573731254491","1","-0.31640625","-0.9794922","-0.061523438","-32.0","6.40625","20.6875"
"1573731254491","2","-0.29882812","-0.9765625","-0.09863281","-13.4375","11.75","-4.34375"
"1573731254492","3","-0.24414062","-0.99609375","-0.12109375","3.40625","13.59375","-19.65625"
"1573731254492","4","-0.20214844","-0.9794922","-0.115234375","13.59375","17.625","-19.59375"
"1573731254492","5","-0.14355469","-0.9658203","-0.1328125","9.9375","21.03125","-15.875"
"1573731254493","6","-0.123046875","-1.0107422","-0.09472656","-8.75","3.59375","-5.6875"
"1573731254493","7","-0.17773438","-1.0009766","-0.009765625","-20.71875","-0.5","5.21875"
"1573731254493","8","-0.19140625","-0.9511719","-0.0546875","-12.90625","-8.75","5.0625"
"1573731254493","9","-0.26953125","-0.9794922","-0.095703125","19.46875","-9.21875","5.0"
"1573731254887","10","-0.25097656","-0.9746094","0.0","2.25","0.90625","-0.375"
"1573731254890","11","-0.2265625","-0.9716797","-0.030273438","3.65625","-2.09375","-0.375"
"1573731254891","12","-0.22753906","-0.97753906","-0.033203125","0.09375","9.9375","-0.625"
"1573731254892","13","-0.20898438","-0.9902344","-0.04296875","0.90625","7.5625","1.4375"
"1573731254893","14","-0.203125","-1.0039062","-0.01953125","-4.59375","4.375","1.21875"
"1573731254893","15","-0.19824219","-1.0019531","-0.043945312","-0.0625","-5.75","-0.5625"
"1573731254893","16","-0.20996094","-0.98046875","-0.060546875","-3.0625","-6.65625","0.09375"
"1573731254894","17","-0.20898438","-0.96191406","-0.032226562","-4.78125","-8.875","4.5625"
"1573731254894","18","-0.22460938","-0.96777344","-0.032226562","6.40625","-20.15625","15.1875"
"1573731254894","19","-0.21972656","-1.0097656","-0.047851562","4.625","-9.15625","11.53125"
"1573731255286","20","-0.22851562","-0.98535156","-0.05078125","-0.875","-8.4375","8.03125"
"1573731255287","21","-0.24707031","-0.9716797","-0.059570312","-0.9375","-7.78125","6.875"
"1573731255287","22","-0.24707031","-0.97753906","-0.04296875","-4.21875","-2.15625","5.40625"
