"# PR data"
"# Start time: 20191114T115035"
"# Subject: zoe"
"# Activity type: Step ups"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573732236748","0","-0.20410156","-0.9550781","-0.21777344","-6.3125","2.375","-2.53125"
"1573732236750","1","-0.21386719","-0.9746094","-0.23828125","-6.3125","3.65625","-1.3125"
"1573732236751","2","-0.20996094","-0.97265625","-0.23046875","-4.09375","2.96875","-0.875"
"1573732236751","3","-0.19726562","-0.9658203","-0.23242188","-5.03125","1.28125","-1.0625"
"1573732236752","4","-0.19628906","-0.97265625","-0.24121094","-5.3125","0.65625","-1.0625"
"1573732236752","5","-0.20214844","-0.95996094","-0.23339844","-5.8125","-4.78125","-1.90625"
"1573732236753","6","-0.19335938","-0.9707031","-0.2529297","-1.25","-7.71875","-1.25"
"1573732236753","7","-0.20898438","-0.9667969","-0.24511719","-0.0625","-11.71875","-1.125"
"1573732236753","8","-0.203125","-0.9814453","-0.23828125","0.03125","-7.09375","0.03125"
"1573732236753","9","-0.20703125","-0.97558594","-0.2626953","7.4375","-5.6875","0.03125"
"1573732236947","10","-0.20410156","-0.9716797","-0.22265625","0.28125","0.09375","-0.5"
"1573732236947","11","-0.22070312","-0.95996094","-0.21191406","-1.0","-1.53125","-1.0"
"1573732236948","12","-0.21972656","-0.97558594","-0.22753906","-1.84375","3.53125","-0.25"
"1573732236948","13","-0.20214844","-0.96191406","-0.23339844","-7.28125","3.46875","-1.65625"
"1573732236948","14","-0.203125","-0.9580078","-0.23925781","-7.03125","0.03125","-1.90625"
"1573732236949","15","-0.20605469","-0.96972656","-0.25","-7.28125","2.25","-0.625"
"1573732236949","16","-0.20898438","-0.96191406","-0.25195312","-7.15625","5.0","-0.5"
"1573732236949","17","-0.19433594","-0.95703125","-0.26464844","-5.09375","7.75","0.65625"
"1573732236949","18","-0.1953125","-0.96484375","-0.26660156","0.34375","7.6875","2.5"
"1573732236950","19","-0.20214844","-0.95996094","-0.26757812","3.71875","10.0625","2.84375"
"1573732237343","20","-0.20507812","-0.96777344","-0.27539062","3.21875","13.40625","3.40625"
"1573732237344","21","-0.20410156","-0.96191406","-0.24023438","6.03125","17.875","3.46875"
"1573732237344","22","-0.19042969","-0.96484375","-0.24316406","4.4375","14.15625","2.0"
"1573732237344","23","-0.19140625","-0.9765625","-0.23535156","8.28125","9.8125","2.96875"
"1573732237345","24","-0.20507812","-0.9794922","-0.23632812","5.90625","4.4375","-1.25"
"1573732237347","25","-0.19726562","-0.99609375","-0.24902344","12.5625","-0.6875","-2.59375"
"1573732237347","26","-0.21191406","-0.9667969","-0.21484375","1.75","0.03125","-6.96875"
"1573732237347","27","-0.21484375","-0.9765625","-0.21972656","3.03125","-6.84375","-7.78125"
"1573732237348","28","-0.20507812","-0.9716797","-0.20117188","0.28125","-2.625","-7.71875"
"1573732237348","29","-0.20410156","-0.9707031","-0.203125","-2.8125","-2.625","-5.4375"
"1573732237348","30","-0.18847656","-0.9736328","-0.21289062","1.9375","-2.53125","-3.90625"
"1573732237348","31","-0.19140625","-0.9658203","-0.20800781","4.3125","-2.53125","-2.34375"
"1573732237349","32","-0.16503906","-0.9873047","-0.21191406","3.71875","-4.09375","-1.125"
"1573732237349","33","-0.18457031","-0.9746094","-0.18164062","3.15625","-4.46875","0.53125"
"1573732237349","34","-0.18066406","-0.9824219","-0.19433594","3.65625","-5.4375","2.65625"
"1573732237349","35","-0.20507812","-0.97558594","-0.171875","0.09375","-2.46875","2.65625"
"1573732237350","36","-0.20214844","-0.9785156","-0.16601562","-1.40625","-0.625","2.5"
"1573732237350","37","-0.21679688","-0.97753906","-0.16894531","-11.1875","-0.625","1.3125"
"1573732237350","38","-0.19628906","-0.9746094","-0.16210938","-13.5625","4.125","-0.6875"
"1573732237350","39","-0.2109375","-0.9863281","-0.20703125","-9.15625","0.28125","-1.46875"
"1573732237743","40","-0.19726562","-0.9658203","-0.21972656","-6.90625","1.9375","-1.25"
"1573732237743","41","-0.22460938","-0.97558594","-0.18652344","-6.0625","2.375","-2.75"
"1573732237744","42","-0.19921875","-0.9794922","-0.203125","-6.65625","0.59375","-1.46875"
"1573732237744","43","-0.20605469","-0.9785156","-0.21484375","-3.5","0.40625","-2.03125"
"1573732237744","44","-0.21191406","-0.9746094","-0.1953125","-3.90625","-1.46875","-4.65625"
"1573732237744","45","-0.17773438","-0.97753906","-0.23339844","2.375","0.09375","-1.53125"
"1573732237745","46","-0.18945312","-0.96972656","-0.21484375","4.0625","4.0","0.65625"
"1573732237745","47","-0.18554688","-0.97558594","-0.20019531","3.59375","1.6875","1.625"
"1573732237745","48","-0.19238281","-0.97265625","-0.21386719","0.03125","0.21875","1.03125"
"1573732237746","49","-0.20214844","-0.9794922","-0.21289062","0.34375","0.03125","0.78125"
"1573732239132","50","-0.20117188","-0.97753906","-0.20703125","-0.875","1.75","0.40625"
"1573732239132","51","-0.20605469","-0.9736328","-0.20898438","-3.25","2.71875","-0.3125"
"1573732239133","52","-0.19140625","-0.98046875","-0.22265625","-3.90625","0.28125","0.15625"
"1573732239133","53","-0.19628906","-0.9785156","-0.22070312","-2.15625","0.09375","-0.1875"
"1573732239133","54","-0.19921875","-0.97753906","-0.21484375","-2.625","-1.78125","-0.4375"
"1573732239133","55","-0.20410156","-0.9589844","-0.20996094","-6.65625","0.0","-1.3125"
"1573732239134","56","-0.19921875","-0.9863281","-0.22753906","-0.375","1.4375","-0.125"
"1573732239134","57","-0.20117188","-0.9746094","-0.20898438","-7.9375","4.75","0.34375"
"1573732239134","58","-0.21191406","-0.96875","-0.23632812","-3.875","2.25","0.28125"
"1573732239135","59","-0.21582031","-0.9638672","-0.24023438","-1.96875","6.15625","1.6875"
"1573732239330","60","-0.20703125","-0.95703125","-0.23535156","-2.09375","5.59375","1.4375"
"1573732239331","61","-0.23144531","-0.96875","-0.25097656","1.8125","4.5625","0.96875"
"1573732239331","62","-0.24316406","-0.97753906","-0.22949219","4.0","10.0625","0.84375"
"1573732239332","63","-0.27539062","-0.93066406","-0.2109375","3.09375","5.21875","3.90625"
"1573732239332","64","-0.21777344","-0.9003906","-0.13867188","3.71875","-9.0","10.25"
"1573732239332","65","-0.23046875","-0.9511719","-0.17089844","-3.4375","-13.03125","18.21875"
"1573732239332","66","-0.2607422","-0.9355469","-0.20996094","4.0","-2.34375","26.65625"
"1573732239333","67","-0.26953125","-1.0458984","-0.20214844","24.53125","-7.09375","28.78125"
"1573732239333","68","-0.23242188","-1.0742188","-0.19628906","14.75","9.125","21.34375"
"1573732239334","69","-0.19335938","-0.95703125","-0.2548828","16.40625","12.25","11.8125"
"1573732239530","70","-0.25878906","-0.9482422","-0.1171875","32.21875","0.96875","4.1875"
"1573732239531","71","-0.28808594","-0.9873047","-0.22558594","57.53125","6.34375","6.8125"
"1573732239531","72","-0.16308594","-0.95703125","-0.17382812","31.0","13.59375","9.03125"
"1573732239531","73","-0.17578125","-1.0371094","-0.17382812","25.125","-0.875","4.375"
"1573732239532","74","-0.20703125","-0.9873047","-0.1484375","20.75","-9.65625","-4.28125"
"1573732239533","75","-0.27246094","-0.96191406","-0.099609375","15.78125","-7.875","-3.25"
"1573732239533","76","-0.25585938","-0.9716797","-0.12011719","-0.625","12.125","-2.625"
"1573732239533","77","-0.21289062","-1.0029297","-0.16503906","-3.4375","17.125","-3.75"
"1573732239533","78","-0.28027344","-1.0009766","-0.12402344","-5.3125","23.375","-9.65625"
"1573732239534","79","-0.265625","-1.0195312","-0.0625","4.375","2.0","-7.28125"
"1573732239729","80","-0.2998047","-1.0634766","-0.06542969","12.5","3.40625","-1.125"
"1573732239730","81","-0.3173828","-1.0683594","-0.083984375","5.21875","5.90625","-3.125"
"1573732239730","82","-0.36816406","-1.1533203","-0.12695312","-10.03125","20.625","2.125"
"1573732239730","83","-0.33398438","-1.2324219","0.07421875","5.28125","-5.875","-0.3125"
"1573732239730","84","-0.3154297","-1.0878906","0.095703125","9.6875","12.375","3.53125"
"1573732239732","85","-0.38085938","-0.89941406","0.057617188","14.5","0.03125","8.21875"
"1573732239732","86","-0.31933594","-0.80859375","-0.01953125","19.28125","-24.625","-1.59375"
"1573732239732","87","-0.4296875","-0.8720703","0.013671875","-10.03125","-7.8125","-0.375"
"1573732239733","88","-0.29296875","-0.9765625","0.018554688","-15.625","5.71875","-9.0"
"1573732239733","89","-0.2861328","-0.96777344","-9.765625E-4","-7.46875","-0.75","-5.9375"
"1573732240127","90","-0.3544922","-0.99316406","0.013671875","3.40625","2.84375","9.8125"
"1573732240128","91","-0.28515625","-0.96191406","-0.026367188","-4.78125","6.8125","13.96875"
"1573732240128","92","-0.3154297","-0.95214844","0.028320312","0.0","1.5","10.375"
"1573732240128","93","-0.2607422","-0.88183594","0.017578125","14.3125","-37.125","2.65625"
"1573732240129","94","-0.29589844","-0.8808594","-0.051757812","-0.0625","-53.96875","-6.375"
"1573732240129","95","-0.26757812","-0.83691406","-0.0546875","-20.65625","-50.625","-9.0625"
"1573732240129","96","-0.32226562","-0.83691406","-9.765625E-4","-20.40625","-38.28125","-7.09375"
"1573732240131","97","-0.31347656","-0.8935547","0.036132812","-24.6875","-22.65625","-6.53125"
"1573732240131","98","-0.32617188","-0.8886719","0.07714844","-16.625","-19.90625","-6.4375"
"1573732240131","99","-0.33007812","-0.8984375","0.13085938","-12.03125","-9.53125","2.4375"
"1573732240525","100","-0.3251953","-0.9296875","0.14257812","-23.6875","-0.625","2.0625"
