,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.9569871,0.1836450947313201,0.9114285707473755,0.22069548586117368,0.9093023538589478,0.2407760762891104
aggie,0.95499474,0.18840966944188098,0.9247546195983887,0.21945949644459697,0.8226600885391235,0.493941987327901
andrius,0.9409373,0.23537539628351234,0.9488574266433716,0.1416357539886035,0.9621052742004395,0.10156052818423823
diana,0.96009976,0.16686757656738646,0.9218934774398804,0.202066961223998,0.9396985173225403,0.1619324713346347
jack,0.95608866,0.18776813798935632,0.9124820828437805,0.24399758722777432,0.9284164905548096,0.19806233668445314
joao,0.94526535,0.2265013536618602,0.9371316432952881,0.1628072962131944,0.9254902005195618,0.2005105525072591
lukasz,0.95129347,0.1963608709066841,0.9137254953384399,0.2213347431004437,0.9285714030265808,0.17094203035582553
nikita,0.95104206,0.2130418187560315,0.9401840567588806,0.18743119429885496,0.9040697813034058,0.3482585008970873
rim,0.9513547,0.19272052163903544,0.9464544057846069,0.15040297677953404,0.9767441749572754,0.06838193186378294
ron,0.943686,0.22222118126069523,0.9263157844543457,0.18633614098054102,0.9138576984405518,0.20338118266077077
santi,0.9424831,0.23307994439996976,0.9404600858688354,0.20195496818794287,0.9475524425506592,0.13958101233767045
seb,0.95804197,0.17185316669112222,0.8656361699104309,0.3802587810934795,0.9455040693283081,0.2040237881159486
sharan,0.95202494,0.18124884850387138,0.9256410002708435,0.174654083352727,0.9351464509963989,0.1708893002747367
teo,0.9361252,0.26147799481292666,0.9343915581703186,0.2165892671902107,0.8957816362380981,0.26816436467188465
zoe,0.9535541,0.1999457319747049,0.9396226406097412,0.17255823066305814,0.9110429286956787,0.2259646631503032
