,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.9335622,0.2582561603487019,0.941428542137146,0.14436739759702635,0.9139534831047058,0.194261842215607
aggie,0.9449001,0.2074054018681483,0.9258451461791992,0.18772037096959898,0.8916256427764893,0.23826300403736347
andrius,0.9467152,0.2330913679629575,0.9151251316070557,0.22031464419880997,0.9368420839309692,0.17198604479138005
diana,0.92726517,0.24565157286841377,0.8840236663818359,0.2802932392889639,0.8643215894699097,0.33754185974151796
jack,0.92844075,0.263955022587624,0.9239598512649536,0.18393205012265965,0.9327548742294312,0.19941907600245143
joao,0.93922997,0.22836844201425516,0.9332023859024048,0.16859812284719147,0.9529411792755127,0.1138637363463275
lukasz,0.9306791,0.2539836402708422,0.915032684803009,0.18570373673387652,0.9697802066802979,0.09353500086741245
nikita,0.9537947,0.1737081824200879,0.9279140830039978,0.17523636013499577,0.9534883499145508,0.12505837341196574
rim,0.9439655,0.20225624471737685,0.9348769783973694,0.15994241007466567,0.9437984228134155,0.12006546455153892
ron,0.9515785,0.20257948335171153,0.9157894849777222,0.3187806626831349,0.9344569444656372,0.22038354142569005
santi,0.93157476,0.288274286599303,0.9607577919960022,0.12185594064583032,0.9685314893722534,0.0910371930877372
seb,0.94138217,0.23655236196439486,0.9108204245567322,0.20497919383788799,0.9645776748657227,0.1098764366437367
sharan,0.9441329,0.22312668472806985,0.928205132484436,0.18631373868795495,0.8807531595230103,0.4874554757353283
teo,0.94818103,0.21309076267248886,0.9449735283851624,0.17350673815538853,0.9007444381713867,0.2251368817188962
zoe,0.9565832,0.17811063270841354,0.944654107093811,0.1750778270832632,0.9447852969169617,0.12517731211670374
