,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.9093296,0.3217080104524369,0.941428542137146,0.15862998055327937,0.8767442107200623,0.3333129436059227
aggie,0.94279706,0.21979569113655673,0.9062159061431885,0.22998104325789936,0.8916256427764893,0.2804751425816361
andrius,0.93665737,0.24948697595777564,0.8443960547447205,0.35874274089604097,0.8694736957550049,0.27154927225489367
diana,0.94555277,0.21186283856308272,0.9278106689453125,0.20750829650374328,0.9371859431266785,0.17359152948279075
jack,0.9028258,0.34781739348365803,0.8852223753929138,0.27329110770290543,0.8893709182739258,0.26641352586281525
joao,0.926743,0.28201455499329503,0.790766179561615,0.6107304446398755,0.8392156958580017,0.41350501200147705
lukasz,0.906831,0.342245808776194,0.8692810535430908,0.33632082438546845,0.9203296899795532,0.20876412560803825
nikita,0.895989,0.35821515495178036,0.8711656332015991,0.2803300912491977,0.8866279125213623,0.2844131058190278
rim,0.9552545,0.19762944132288418,0.8929088115692139,0.2826296035368831,0.932170569896698,0.16915342685326126
ron,0.896971,0.3818817129517578,0.8994151949882507,0.2632988193292955,0.8501872420310974,0.41227923445612863
santi,0.94724315,0.21351109283064884,0.949932336807251,0.11749576062943247,0.9650349617004395,0.08639416348684084
seb,0.95536816,0.18849119235708212,0.9013079404830933,0.33745924008215084,0.9509536623954773,0.13622837932542478
sharan,0.88161993,0.3985544830715421,0.8756410479545593,0.2988726017614588,0.8598326444625854,0.34021801336290447
teo,0.87373096,0.43308647675360923,0.7767195701599121,0.5816955596451874,0.8436724543571472,0.4570429109218334
zoe,0.9198304,0.30957675366534554,0.8867924809455872,0.33095689914262494,0.89570552110672,0.24034992587235557
