,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.93457186,0.26197676928728963,0.8742856979370117,0.2934929234640939,0.8581395149230957,0.343265703874965
aggie,0.9238696,0.3112896413895861,0.912759006023407,0.26384469503364166,0.8374384045600891,0.4565197465932134
andrius,0.909266,0.3617135019382598,0.935799777507782,0.1735462801322195,0.9389473795890808,0.15439988409218036
diana,0.9370324,0.2609086120787602,0.9147928953170776,0.2179845189025416,0.8894472122192383,0.29814424605375556
jack,0.9321,0.29252765721350477,0.8837876319885254,0.35071452544037374,0.9045553207397461,0.2940661326503288
joao,0.9317378,0.3003737251914875,0.9233791828155518,0.20901355911814745,0.9058823585510254,0.29437338553515136
lukasz,0.9221908,0.32235583487112096,0.900653600692749,0.27470203297200546,0.906593382358551,0.25399899056979586
nikita,0.94278413,0.26440491478976613,0.9585889577865601,0.14482642994605097,0.9011628031730652,0.3130594666527454
rim,0.9382184,0.2681608992110332,0.9146165251731873,0.23621326401376863,0.9670542478561401,0.08876802187499612
ron,0.92619455,0.30257684678958136,0.9122806787490845,0.22802550618629358,0.9101123809814453,0.22496456753336982
santi,0.9228481,0.3310843424658036,0.9458727836608887,0.15628562154341616,0.9475524425506592,0.1258168500047047
seb,0.9199918,0.3156965456593434,0.870392382144928,0.3958437806183603,0.9318801164627075,0.21929678140710582
sharan,0.9306334,0.274218996013065,0.9025641083717346,0.2532115212426736,0.926778256893158,0.1988217021381506
teo,0.9147631,0.3714847603273876,0.9153439402580261,0.2771431671425937,0.8610422015190125,0.315550141165925
zoe,0.9339661,0.2944562989309647,0.9157232642173767,0.24636116148728246,0.8742331266403198,0.2946972770193603
