,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.8477905,0.5009906755336568,0.8054474592208862,0.585024525393308,0.7102803587913513,0.8327476250419735
aggie,0.8725156,0.45495752683083895,0.7949852347373962,0.6511317684938774,0.7799999713897705,0.7947789192199707
andrius,0.8774268,0.46154718404574796,0.7543859481811523,0.7258599989595469,0.8627451062202454,0.6137699222698265
diana,0.8874544,0.44801433717739436,0.762738823890686,0.7619473725367504,0.753333330154419,0.8273560869693756
jack,0.8438703,0.5468470932298338,0.8268482685089111,0.611818837284578,0.791304349899292,0.6017134072124094
joao,0.884258,0.4447016372408071,0.7873183488845825,0.7125781643815841,0.8395721912384033,0.5262109971938924
lukasz,0.8724392,0.46717103663704757,0.7411971688270569,0.6965619778968919,0.8773234486579895,0.42252269381705715
nikita,0.84846073,0.5133318450547074,0.7706611752510071,0.6988172304531759,0.7644787430763245,0.6330771008973877
rim,0.8859917,0.43851510898911505,0.8408644199371338,0.5870890978043112,0.8067010045051575,0.591681933280119
ron,0.8489209,0.49980382354997044,0.7879746556282043,0.6839689061611514,0.7437185645103455,0.8125420305597123
santi,0.867985,0.4670515995749428,0.9007353186607361,0.36804456570569205,0.938095211982727,0.3586338236218407
seb,0.8877437,0.42209121949327355,0.7659235596656799,0.7090131477185875,0.875,0.37589830949025993
sharan,0.86150825,0.5030998988983041,0.815330982208252,0.611200864099044,0.7050561904907227,0.9992490946576836
teo,0.8344768,0.5509495987695854,0.7567567825317383,0.6926204591862338,0.7777777910232544,0.6812061547028898
zoe,0.8773842,0.45497849284790515,0.7747440338134766,0.7165916767543493,0.8264462947845459,0.5901536877490272
