,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.8831169,0.4141212983497585,0.8289738297462463,0.5121953428031453,0.7175324559211731,0.7670910211352558
aggie,0.8905882,0.3915021520502427,0.8300455212593079,0.5423041839881805,0.8206896781921387,0.7031704623123695
andrius,0.91437125,0.3378337586711267,0.7700453996658325,0.6624303479057577,0.8688046932220459,0.4722124108767718
diana,0.92703485,0.31078332551690036,0.8013136386871338,0.6408270207097623,0.7902097702026367,0.6538582677607769
jack,0.888952,0.4028850499624151,0.8597561120986938,0.48044723926520927,0.8498498201370239,0.45048103004962475
joao,0.9141943,0.31997626775430343,0.8288043737411499,0.5910645979254142,0.9034090638160706,0.3467349518429149
lukasz,0.909322,0.367071093071652,0.7759562730789185,0.6271911585917238,0.8803088665008545,0.35703650194590614
nikita,0.8731159,0.4568428981627592,0.7739130258560181,0.7310283914856289,0.7933884263038635,0.59824648721159
rim,0.92367285,0.3162410040753473,0.8519269824028015,0.5291773880591982,0.8284182548522949,0.5031813371916559
ron,0.89061564,0.3856443716819886,0.801948070526123,0.64877295668249,0.7345361113548279,0.7411056332981464
santi,0.9139696,0.3405912510916735,0.9409523606300354,0.2617537341089476,0.929648220539093,0.25650762118885867
seb,0.91518116,0.3534554500837584,0.7840531468391418,0.6693584542733886,0.9312977194786072,0.32064362484535186
sharan,0.9043605,0.36228184672289115,0.862500011920929,0.4523328074387142,0.7543352842330933,0.9510352756246666
teo,0.8684834,0.4407391974711305,0.8308823704719543,0.5142645996283083,0.8096885681152344,0.6336404932823974
zoe,0.89145756,0.40967521049588507,0.7805309891700745,0.6724410556058968,0.8515284061431885,0.532521421472058
