,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.88819873,0.4187781080763465,0.8128772377967834,0.5372973125225582,0.7110389471054077,0.7745409151176353
aggie,0.9014706,0.3825063237021951,0.8421851396560669,0.563081729846225,0.7965517044067383,0.7248945680157891
andrius,0.9035928,0.39320785274762593,0.7730711102485657,0.7013365015860946,0.8600583076477051,0.5394258655542535
diana,0.9156977,0.3478997617266899,0.7684729099273682,0.7164523169392191,0.8006992936134338,0.7135899946406171
jack,0.888952,0.40350603353093545,0.8780487775802612,0.49785111687047695,0.837837815284729,0.44190240259822067
joao,0.90575916,0.3706133357482708,0.8192934989929199,0.6537138132945352,0.8863636255264282,0.4371703321283514
lukasz,0.9101695,0.38635939898463967,0.7959927320480347,0.6469379934891109,0.8725868463516235,0.3925529359390377
nikita,0.89092904,0.4020212979945917,0.810869574546814,0.6066686127496802,0.8099173307418823,0.5718756768821684
rim,0.9153515,0.35371689044762206,0.8539553880691528,0.5326365556484787,0.8257372379302979,0.5158921528118225
ron,0.88224745,0.41008909388673,0.801948070526123,0.7437367425723509,0.7371134161949158,0.7917676254646066
santi,0.9009682,0.39850610229978917,0.9352381229400635,0.3190997761204129,0.9346733689308167,0.31474624222247444
seb,0.9209316,0.3495671617326687,0.8106312155723572,0.6152405437837012,0.9427480697631836,0.29091807238700734
sharan,0.89796513,0.40577809360138206,0.8357142806053162,0.5102922746113369,0.7167630195617676,1.1539493337531999
teo,0.8779621,0.4588498840399828,0.8117647171020508,0.5701273237957674,0.7923875451087952,0.6818342002617859
zoe,0.90780944,0.3662469032568968,0.8053097128868103,0.6095473333797624,0.8602620363235474,0.49615975784943095
