,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.92151326,0.28316078021625957,0.8289738297462463,0.45373522953488216,0.7435064911842346,0.7494011877419112
aggie,0.94,0.2492231188802158,0.8573596477508545,0.484773879754887,0.7793103456497192,0.7379578639721048
andrius,0.9488024,0.22952409447310212,0.7987897396087646,0.5924956509096719,0.9154518842697144,0.38322255910311775
diana,0.95726746,0.19969078704368237,0.8144499063491821,0.565930072444511,0.811188817024231,0.6245287139932593
jack,0.9338256,0.2611619541164963,0.8780487775802612,0.4027602124383779,0.8828828930854797,0.3645725045073498
joao,0.9499709,0.23076823698773918,0.8301630616188049,0.5732607614734898,0.8863636255264282,0.3472478145902807
lukasz,0.9398305,0.23917983207998977,0.7996357083320618,0.5642388155768695,0.8996139168739319,0.30245442281416024
nikita,0.92628115,0.2872482158935831,0.789130449295044,0.6313249349594117,0.7727272510528564,0.6278865012255582
rim,0.9529412,0.21839368984723193,0.8722109794616699,0.45499628552558696,0.8418230414390564,0.41948868538035783
ron,0.9342499,0.26006635658340543,0.8149350881576538,0.6840469399829964,0.7731958627700806,0.67205815462722
santi,0.9352697,0.2691202771160777,0.939047634601593,0.24188642507507688,0.9597989916801453,0.19411156405156582
seb,0.953709,0.20121405604860437,0.8139534592628479,0.568563061299118,0.9580152630805969,0.20214550566809777
sharan,0.93401164,0.261482220333676,0.8428571224212646,0.44847852545125144,0.7601156234741211,1.0053454451478285
teo,0.92505926,0.30206286977817665,0.8617647290229797,0.44093440192587235,0.7889273166656494,0.5872191305958688
zoe,0.93882155,0.24825078246457025,0.8513274192810059,0.4961927862293952,0.847161591053009,0.48633443339683086
