,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,1.0,0.028955805290517736,0.8873239159584045,0.33117849936697563,0.8051947951316833,0.5792625244561728
aggie,1.0,0.028200461119413375,0.8179059028625488,0.5749783770086552,0.8068965673446655,0.605508853649271
andrius,0.9997006,0.02470833218383218,0.7987897396087646,0.6436631757084071,0.8658891916275024,0.4556122754127569
diana,0.9994186,0.023036368069953697,0.8062397241592407,0.563460289173391,0.8426573276519775,0.5892918326637961
jack,0.999716,0.02718460541223809,0.8678861856460571,0.3693346635597508,0.8828828930854797,0.39219596959628145
joao,0.99854565,0.02772349589019407,0.8084239363670349,0.6767703385456748,0.8636363744735718,0.3322472491047599
lukasz,1.0,0.02894645105352846,0.817850649356842,0.5209349140063444,0.8918918967247009,0.2888607541135149
nikita,0.9991779,0.035664653730706077,0.802173912525177,0.5697392588076384,0.78925621509552,0.6008795223945429
rim,0.99971306,0.02272046168456375,0.8640973567962646,0.4286660853070613,0.8471850156784058,0.5185535396711436
ron,0.99970114,0.028252437993554532,0.8425324559211731,0.5581638040867719,0.780927836894989,0.7369738466960868
santi,0.99944675,0.028022873435648646,0.9523809552192688,0.17107872172480537,0.9547738432884216,0.14220613503276403
seb,0.99971247,0.02339968265448239,0.840531587600708,0.5512108417642473,0.9351145029067993,0.1900720944066482
sharan,1.0,0.028679191589702006,0.8410714268684387,0.4761946573853493,0.7312138676643372,0.8571188263810439
teo,1.0,0.03018177265380796,0.824999988079071,0.5286959917777602,0.7681660652160645,0.6807877750210077
zoe,0.99943614,0.026500949090489005,0.8053097128868103,0.5931599873357114,0.864628791809082,0.4196174934701628
