,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,1.0,0.022898932548116955,0.8818565607070923,0.32359859101348537,0.8172757625579834,0.5782772919466329
aggie,0.9996953,0.021106953446064905,0.8432601690292358,0.5287542364627217,0.8071428537368774,0.5896150061062404
andrius,1.0,0.01676022780753633,0.8214285969734192,0.5833785632012053,0.8635014891624451,0.37741190637254574
diana,0.99969906,0.01833217330960814,0.8622449040412903,0.4437730077172623,0.8785714507102966,0.5166008732148579
jack,0.99970573,0.021038754501672197,0.8839662671089172,0.30144914921828964,0.8553845882415771,0.3830970329963244
joao,1.0,0.020432919146862006,0.8410041928291321,0.5412034791383783,0.9281437397003174,0.2678353827736692
lukasz,0.9997077,0.022764503888326303,0.8295454382896423,0.5157103628823252,0.9236947894096375,0.21018450213484016
nikita,0.9988662,0.02528968203365127,0.8288288116455078,0.5585162078475093,0.8451882600784302,0.43296939346580826
rim,1.0,0.01613820469050059,0.8997867703437805,0.35368627278027,0.875,0.4081938715408678
ron,0.9996909,0.02338928653983834,0.8141891956329346,0.5728998873886224,0.820105791091919,0.6105347840243547
santi,1.0,0.0194088680906884,0.9384920597076416,0.17115056334388634,0.9684210419654846,0.1317838745681863
seb,1.0,0.018177089306115394,0.8520408272743225,0.48165950924158096,0.9563491940498352,0.13652038562392432
sharan,1.0,0.02156058216183652,0.8670411705970764,0.40529890330543233,0.7678571343421936,0.9475262675966535
teo,1.0,0.024238134303831704,0.8340874910354614,0.4655914301246539,0.7906137108802795,0.580574281379204
zoe,0.9994169,0.02168753335453331,0.8443223237991333,0.5069401349131216,0.8963963985443115,0.35940135840897086
