,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.9795417,0.13895120185155135,0.8190661668777466,0.4780856682792132,0.7383177280426025,0.6956270533930105
aggie,0.98722315,0.11110463664401059,0.780236005783081,0.673801314657153,0.7599999904632568,0.7582424815495808
andrius,0.9910171,0.10305345403875209,0.7763158082962036,0.7283227004502949,0.7927170991897583,0.6187281760514951
diana,0.9898962,0.1000947294620326,0.7802547812461853,0.6630930910064916,0.8199999928474426,0.6745911153157552
jack,0.9815833,0.1296142744634622,0.8268482685089111,0.526160399041751,0.8115941882133484,0.4852351216302402
joao,0.9819769,0.11781192495181037,0.7886393666267395,0.6957261327708255,0.855614960193634,0.44322877325476173
lukasz,0.98634255,0.12233642506423592,0.7781690359115601,0.616593733324971,0.8661710023880005,0.4080291192383128
nikita,0.9830149,0.13035637773019745,0.8099173307418823,0.6149431406712729,0.7876448035240173,0.5739399915036087
rim,0.9880721,0.09735530026246704,0.8585461974143982,0.49667903845343,0.8170102834701538,0.5827416120116243
ron,0.9867626,0.1257032930250648,0.8022152185440063,0.5659484874598587,0.7412060499191284,0.8060068452178534
santi,0.9839658,0.12554945544658785,0.8915441036224365,0.32396479630294966,0.9238095283508301,0.23235661614508857
seb,0.9857939,0.10574950086041081,0.8073248267173767,0.6017586664789042,0.875,0.3425505678443348
sharan,0.9882254,0.1154247549027497,0.8188153505325317,0.5285819199857812,0.7471910119056702,0.7713642959179503
teo,0.9848485,0.13167318723043625,0.8108108043670654,0.5680941418767145,0.7643097639083862,0.6376531220445729
zoe,0.98310626,0.12927488320448743,0.7679181098937988,0.7036695200632049,0.8264462947845459,0.5831774556932371
