,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.73667204,0.8232716390312392,0.7057142853736877,0.833636622088296,0.6465116143226624,1.0194241030271662
aggie,0.71777076,0.915827866683623,0.6859323978424072,1.0258360594153535,0.6453201770782471,1.1443672256516706
andrius,0.73764175,0.9033759972433347,0.6300326585769653,1.0514586740401417,0.7200000286102295,0.9871453523635865
diana,0.78408146,0.7529554397288899,0.6745561957359314,0.9620790487210427,0.6909547448158264,0.9543255450737537
jack,0.7554381,0.7994354196403249,0.7388809323310852,0.863982898604066,0.6919739842414856,0.8449561568764957
joao,0.7317378,0.854431849389369,0.6935166716575623,1.0314693038730585,0.7215686440467834,0.8504335237484352
lukasz,0.73524654,0.8545974153805473,0.6535947918891907,0.9962128419502109,0.6978021860122681,0.8068415555325184
nikita,0.7477389,0.8073363621029571,0.703987717628479,0.9369494812620198,0.7063953280448914,0.8629067456999491
rim,0.7364532,0.8600935431928275,0.7206946611404419,0.9084379550517037,0.6957364082336426,0.907246916331062
ron,0.72952217,0.8725057238197977,0.7204678654670715,0.9205922690051341,0.6067415475845337,1.1652042865753174
santi,0.73006743,0.901216256859661,0.7699593901634216,0.7947494565069434,0.8041958212852478,0.7510225531104562
seb,0.7745784,0.8006307161771334,0.6706302165985107,1.000775940494787,0.8010899424552917,0.7328438237512469
sharan,0.776947,0.7348195124761833,0.735897421836853,0.8323101723805452,0.6652719378471375,1.062955977777058
teo,0.69141287,0.9763372535431244,0.6486772298812866,1.0402253601286147,0.6054590344429016,1.09456773608849
zoe,0.73667204,0.853308621535201,0.6830188632011414,1.009727511765822,0.7055214643478394,0.9592157134249166
