,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.7959629,0.655540529522685,0.7801556587219238,0.7108415124017441,0.663551390171051,0.9315158234578427
aggie,0.8029529,0.704148850543874,0.74631267786026,0.8678147602925258,0.6866666674613953,1.0691881306966147
andrius,0.8264271,0.6456672364440527,0.7149122953414917,0.8147956362941808,0.8235294222831726,0.7694138024701458
diana,0.822902,0.6464210315397071,0.6799362897872925,0.8940241162184697,0.7166666388511658,0.9293426005045573
jack,0.793293,0.692136406308678,0.8035019636154175,0.7539003804500001,0.7536231875419617,0.7653642077376877
joao,0.8197691,0.6528132186242138,0.7384412288665771,0.8770114561368169,0.8074866533279419,0.7156228576114471
lukasz,0.79677683,0.7009104567777587,0.7059859037399292,0.8560428753705092,0.7769516706466675,0.648423934625427
nikita,0.7903397,0.7108464670029415,0.7128099203109741,0.892852366463212,0.7220077514648438,0.8001432050609221
rim,0.8377254,0.601420152104678,0.7996070981025696,0.7272834960510314,0.7680412530899048,0.6927182268850582
ron,0.78820145,0.7003151558972092,0.719936728477478,0.8396353110482421,0.6733668446540833,1.0219291176029186
santi,0.7952966,0.7306778010424926,0.8272058963775635,0.6075292527675629,0.8523809313774109,0.5745096723238627
seb,0.8311978,0.6504206415006377,0.7085987329483032,0.8925319743004574,0.8308823704719543,0.5742916605051827
sharan,0.8127278,0.6803262136481809,0.7630661725997925,0.7232421001075452,0.6713483333587646,1.091943414023753
teo,0.7747284,0.754937100335487,0.7112375497817993,0.8692002854340446,0.7306397557258606,0.8719499622932588
zoe,0.81362396,0.6670975468139233,0.7491467595100403,0.8543522414900744,0.7933884263038635,0.7512553383496182
