,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.8810693,0.41545727221418194,0.7879377603530884,0.5906476510058117,0.6853582262992859,0.8674492806289055
aggie,0.89125496,0.401427532921184,0.8067846894264221,0.6289561387799834,0.7866666913032532,0.7975840202967326
andrius,0.8988699,0.38229842322075136,0.7763158082962036,0.6782721894526342,0.8711484670639038,0.5196417847267386
diana,0.90710074,0.367183945702931,0.7675158977508545,0.7014335120559498,0.7866666913032532,0.7492988268534343
jack,0.8807037,0.4181126082349833,0.8677042722702026,0.5344025356992209,0.8463768362998962,0.45946779130161675
joao,0.89946496,0.3802103466364539,0.803170382976532,0.6718657574218991,0.8395721912384033,0.48992787771683965
lukasz,0.892106,0.4051240188962806,0.7658450603485107,0.6467639610800945,0.8661710023880005,0.40239230119605934
nikita,0.88375795,0.386545166278341,0.7913222908973694,0.6730089744260489,0.7915058135986328,0.5827664855479273
rim,0.9120666,0.3581584591434005,0.8565815091133118,0.5426975076465569,0.8402062058448792,0.5207668782509479
ron,0.87223023,0.43231738184853424,0.8180379867553711,0.6230178166039383,0.7386934757232666,0.8069346196687401
santi,0.90459645,0.37230688029275993,0.9227941036224365,0.30322511932429147,0.9333333373069763,0.27780971271651134
seb,0.9086351,0.3491069703962145,0.7914012670516968,0.6705973945605527,0.8933823704719543,0.31454535792855653
sharan,0.9021587,0.3738885106728262,0.8257839679718018,0.5405672055503633,0.7443820238113403,0.8946341739527965
teo,0.8642081,0.47907354403659913,0.7809388041496277,0.6304398848016775,0.7878788113594055,0.653469686355655
zoe,0.8918256,0.410230200865613,0.7918089032173157,0.7009365172109506,0.8181818127632141,0.6312459044712634
