,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.91151386,0.35122204360677234,0.8716216087341309,0.483045901398401,0.8278145790100098,0.6277023936739031
aggie,0.9033498,0.385739450661577,0.8489583134651184,0.48068100834886235,0.9051724076271057,0.46767138715448053
andrius,0.91613245,0.3695805819116087,0.872053861618042,0.5048311859469623,0.9060402512550354,0.532608611471701
diana,0.9334061,0.28211765121424565,0.8459119200706482,0.5746771019397292,0.893081784248352,0.48110124234508417
jack,0.9096134,0.34797989973329324,0.9246861934661865,0.32416787668750874,0.9112426042556763,0.30521173193257234
joao,0.9164871,0.3489314854658883,0.8778409361839294,0.5240770835768093,0.9017857313156128,0.45907961257866453
lukasz,0.9291045,0.3190916892943352,0.8640776872634888,0.5100490814466693,0.9264705777168274,0.2572780041133656
nikita,0.92921287,0.2843993090474914,0.875,0.4660644057918997,0.8940397500991821,0.3955288114926673
rim,0.9274448,0.3392600668466931,0.8865247964859009,0.4626112366821749,0.9432623982429504,0.33367060426067796
ron,0.91072434,0.3674890046906833,0.8820058703422546,0.406623845694691,0.8643215894699097,0.4966293488016081
santi,0.9078807,0.3967241444272863,0.9337539672851562,0.28535104145763046,0.9672130942344666,0.25937840489090463
seb,0.90928495,0.3924804925282457,0.8164793848991394,0.6091374138209704,0.8932584524154663,0.40119724863030937
sharan,0.9130913,0.3805131378805939,0.8721311688423157,0.5047543545238308,0.8131313323974609,0.5763601994123122
teo,0.8997821,0.4055044108226668,0.9068322777748108,0.4507294341644145,0.8012048006057739,0.6381247334451561
zoe,0.9356409,0.29892389577843165,0.857594907283783,0.4405701047257532,0.8645161390304565,0.5735751238561446
