,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.98378074,0.08121296731750971,0.9973958134651184,0.05861918690303961,0.9867549538612366,0.06809864138925312
aggie,0.9732704,0.12496907874723151,0.9259259104728699,0.17085306733997183,1.0,0.09581191882748029
andrius,0.9767693,0.10943466946603414,0.9842767119407654,0.10004117583516259,0.9328858852386475,0.18603868327484835
diana,0.9718016,0.11027004884132828,0.9914893507957458,0.07897805151470164,0.8867924809455872,0.2210082675347913
jack,0.9694105,0.12977000610183953,0.9521126747131348,0.1590083082796822,0.9408283829689026,0.1684036453050622
joao,0.9710374,0.11127798012082611,0.9902912378311157,0.08799134366045493,0.9732142686843872,0.119185385959489
lukasz,0.96759015,0.12284831516542051,0.904411792755127,0.20448736813576782,0.970588207244873,0.15125369258663235
nikita,0.97713983,0.10236809214558264,0.9507042169570923,0.13787904552275865,0.9933775067329407,0.07107927943795722
rim,0.9691057,0.13648635730510805,0.9026548862457275,0.24289760182015488,0.978723406791687,0.125679349209717
ron,0.9844703,0.07861626077974365,1.0,0.055864228963945946,1.0,0.07282864064652117
santi,0.9802802,0.1047388870688566,0.9925373196601868,0.08294890481811851,1.0,0.06601905370833444
seb,0.96350765,0.15015915566182864,0.9672130942344666,0.14600866151149156,0.949438214302063,0.14648244266262214
sharan,0.9827873,0.1085321392402723,0.9285714030265808,0.21641978889888858,0.868686854839325,0.30477662634744185
teo,0.9277959,0.20137848974439143,0.9367088675498962,0.19100277550235578,0.9457831382751465,0.18944356689252048
zoe,0.95499736,0.15377330475923967,0.960629940032959,0.15876141907720584,0.9870967864990234,0.10705879866596191
