,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.90618336,0.3112153286999985,0.8918918967247009,0.23166748400576212,0.8543046116828918,0.27849792052578454
aggie,0.90005493,0.37296927503869143,0.890625,0.2366453653667122,0.8879310488700867,0.22721311861071095
andrius,0.94337606,0.21186018442241555,0.9292929172515869,0.2054560112293421,0.9530201554298401,0.10081862922032807
diana,0.85753274,0.4900568408737016,0.8207547068595886,0.4079575956617511,0.8176100850105286,0.4449071149406193
jack,0.8892372,0.3690204725307855,0.8828451633453369,0.22941939814881301,0.8934911489486694,0.24282016287717592
joao,0.9353448,0.22549675841783656,0.9460227489471436,0.13966467714106495,0.9017857313156128,0.21127521193453244
lukasz,0.9040512,0.32272362016411477,0.8737863898277283,0.27080146718806436,0.904411792755127,0.15791014932534275
nikita,0.93555206,0.2034467308729399,0.9264705777168274,0.23269444947843165,0.9072847962379456,0.1924179851120671
rim,0.9279705,0.25037975447912447,0.9468085169792175,0.19930429643033243,0.914893627166748,0.15598157058793602
ron,0.91072434,0.3499048736107477,0.8761062026023865,0.25213216361658414,0.8894472122192383,0.25090074512976496
santi,0.9297125,0.2667064471874501,0.9337539672851562,0.14195300576391656,0.9590163826942444,0.07996507071447177
seb,0.89754534,0.33733340051410804,0.8876404762268066,0.23343673511669877,0.8932584524154663,0.19170995906330227
sharan,0.8894389,0.3737642290306301,0.8786885142326355,0.27266016416862365,0.8838383555412292,0.3088756159248978
teo,0.90522873,0.29303652275361786,0.9068322777748108,0.1941577117913258,0.8674699068069458,0.3497572019247405
zoe,0.9670092,0.1532461198239213,0.9588607549667358,0.12592167287027534,0.9161290526390076,0.14580325335264205
