,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.9184435,0.17642446253091287,0.9256756901741028,0.21212698655152643,0.8807947039604187,0.18735948175389244
aggie,0.9176277,0.18258686420159442,0.8984375,0.21927913530574492,0.8793103694915771,0.25524140252121563
andrius,0.9102564,0.19210966224344367,0.9225589036941528,0.17262165569496477,0.926174521446228,0.16868578922628558
diana,0.9230349,0.18385845943309334,0.8836477994918823,0.23905430457689478,0.9308176040649414,0.16680944134604256
jack,0.90229887,0.19780503993497747,0.8995816111564636,0.21413322139110524,0.8994082808494568,0.19616903219173645
joao,0.9116379,0.192293102114365,0.9034090638160706,0.20287392305379565,0.875,0.22234521274055755
lukasz,0.91684437,0.18602771064175216,0.9029126167297363,0.22362884903224156,0.9117646813392639,0.19093379816588232
nikita,0.8985737,0.20593680336685705,0.9154411554336548,0.20025034818579168,0.8940397500991821,0.20736039030236125
rim,0.9300736,0.17041936754929657,0.9645389914512634,0.13712464442067113,0.9007092118263245,0.18789329081245348
ron,0.9146547,0.19027847752753166,0.9026548862457275,0.18140951502287986,0.8944723606109619,0.2188397684139223
santi,0.9238552,0.18304122835239028,0.914826512336731,0.17794444803912368,0.9344262480735779,0.15178263346191312
seb,0.9252935,0.17488372764821494,0.898876428604126,0.21013343339778956,0.915730357170105,0.20942262015985638
sharan,0.94224423,0.15811667131512078,0.8950819969177246,0.2016128849177087,0.9343434572219849,0.1550368425822017
teo,0.9150327,0.19531227169408258,0.9037266969680786,0.20626139731048057,0.8614457845687866,0.28181101947304715
zoe,0.9269876,0.16307445823856145,0.9082278609275818,0.19396160413287108,0.9354838728904724,0.2452026302776029
