,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.9227079,0.26088170570605346,0.9054054021835327,0.21824528331961954,0.9006622433662415,0.3744459797609721
aggie,0.9192751,0.28816370552283993,0.8802083134651184,0.26216162329850096,0.8879310488700867,0.22601918362337967
andrius,0.92147434,0.31139938877179074,0.9124578833580017,0.21706258077864293,0.9060402512550354,0.213185051343585
diana,0.92358077,0.2673644026391631,0.8805031180381775,0.34953512443498996,0.8805031180381775,0.2797220917242878
jack,0.8798328,0.40885265752315025,0.8619247078895569,0.3147807503547753,0.9171597361564636,0.2023944849886838
joao,0.91756463,0.2753073218567618,0.8835227489471436,0.23577185853553767,0.8928571343421936,0.22382406890392303
lukasz,0.9195096,0.2529654408981805,0.8705501556396484,0.3523443102215727,0.9117646813392639,0.1288654707810458
nikita,0.9413629,0.23019551324800278,0.8970588445663452,0.24033161219866836,0.9602649211883545,0.14542890009501122
rim,0.9190326,0.3170371830275382,0.8829787373542786,0.27235067301555305,0.914893627166748,0.20207540356679587
ron,0.9337451,0.29243972423972203,0.9498525261878967,0.14981670431507021,0.8894472122192383,0.27834047463221767
santi,0.900426,0.34171507866999595,0.8895899057388306,0.22361722617918384,0.9098360538482666,0.2247512692310771
seb,0.92689437,0.2730787801322713,0.8614231944084167,0.34570681699987654,0.9044944047927856,0.23272725755579016
sharan,0.93179315,0.25020721666227996,0.9311475157737732,0.1813773812207042,0.939393937587738,0.22420876236124473
teo,0.9117647,0.32976428083345,0.9223602414131165,0.19751980562943108,0.9096385836601257,0.26481257704456884
zoe,0.9361817,0.2077737938332648,0.9018987417221069,0.22498892867698958,0.9096774458885193,0.301698479729314
