,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.9077825,0.2966940404255507,0.8986486196517944,0.22675694460918452,0.8741722106933594,0.3990492232587953
aggie,0.91982424,0.2844104762263248,0.8776041865348816,0.2510463399715566,0.9051724076271057,0.2001497791758899
andrius,0.91720086,0.28438264844763994,0.9124578833580017,0.19289018995809032,0.9328858852386475,0.1935128648609123
diana,0.91484714,0.2898834558553571,0.8742138147354126,0.33829654837554357,0.8993710875511169,0.30111103650159055
jack,0.9028213,0.3423703738265401,0.8702929019927979,0.28586056219047584,0.9349112510681152,0.16674563751594554
joao,0.921875,0.27848732959607553,0.8806818127632141,0.23068321049107576,0.9107142686843872,0.18459991897855485
lukasz,0.9184435,0.2765826690616384,0.8834951519966125,0.3220764652774654,0.9411764740943909,0.09566641883815036
nikita,0.93396723,0.28721730018254,0.8970588445663452,0.26001085844986577,0.9006622433662415,0.2020039644265017
rim,0.9153523,0.30293812742995413,0.868794322013855,0.2672440228679924,0.9290780425071716,0.1673951582547198
ron,0.94160587,0.27733813588502765,0.9498525261878967,0.14965503893594825,0.909547746181488,0.2631601626661854
santi,0.91320556,0.2912799829777818,0.9085173606872559,0.20641305676018026,0.9180327653884888,0.17437372149014083
seb,0.95410883,0.20786474155323736,0.8913857936859131,0.27198807569395067,0.898876428604126,0.2123068335853266
sharan,0.9312431,0.2559487454109591,0.9377049207687378,0.16370110752396896,0.9444444179534912,0.18824036425036011
teo,0.9291939,0.27838272070573045,0.9316770434379578,0.14927166381052562,0.9156626462936401,0.23799891929220723
zoe,0.9345592,0.21678238102572875,0.8955696225166321,0.2133697827178631,0.8709677457809448,0.30289645079643496
