,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.8992537,0.3279374619759222,0.8986486196517944,0.24453154368175828,0.9205297827720642,0.26804610943754775
aggie,0.9313564,0.2346133666418857,0.9192708134651184,0.20220942671100298,0.931034505367279,0.20013878854184314
andrius,0.92094016,0.29642048809263444,0.9191918969154358,0.18698708399164457,0.926174521446228,0.16070073132946988
diana,0.9426856,0.21898364558750885,0.8773584961891174,0.30026484483563043,0.9182389974594116,0.1599442131301892
jack,0.9336468,0.24285990924670778,0.9205020666122437,0.17342480480822903,0.9467455744743347,0.12514094946652474
joao,0.9342672,0.23080321337128507,0.9034090638160706,0.2191989014390856,0.9196428656578064,0.2166827597788402
lukasz,0.9291045,0.27721298995938126,0.9061488509178162,0.22171526502751562,0.9632353186607361,0.0943115320714081
nikita,0.96302164,0.1883525624202158,0.966911792755127,0.0972881059107535,0.9668874144554138,0.08698591916507345
rim,0.93375397,0.2594491073902849,0.9042553305625916,0.21371606158270956,0.8936170339584351,0.27728556825759565
ron,0.90342504,0.3396606572821594,0.9115044474601746,0.22878095586330885,0.9346733689308167,0.15969161019103612
santi,0.93876463,0.25120150531157137,0.9274448156356812,0.1645082621644207,0.9098360538482666,0.1707410715886804
seb,0.9108858,0.3108025338568326,0.8801498413085938,0.2355423288398914,0.932584285736084,0.14106556455071054
sharan,0.930143,0.25310068076724396,0.868852436542511,0.279085903718579,0.9040403962135315,0.21858098662712358
teo,0.9438998,0.22037611840077734,0.9130434989929199,0.19057515077148304,0.8554216623306274,0.34470564450126095
zoe,0.95997834,0.1847457897105431,0.9430379867553711,0.14866885250818154,0.9354838728904724,0.150083174051777
