,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.91364604,0.29889959637035945,0.8851351141929626,0.22908927332581377,0.9139072895050049,0.28835443017498547
aggie,0.93520045,0.26575681997615513,0.9192708134651184,0.2089811121471333,0.9568965435028076,0.14996934759205785
andrius,0.93108976,0.25850853362144566,0.9292929172515869,0.16704804008757626,0.9328858852386475,0.14510961266972075
diana,0.9399563,0.20719725262032065,0.8993710875511169,0.2691301528830081,0.9308176040649414,0.15078401813904443
jack,0.9420063,0.21807080994641395,0.9414225816726685,0.1357048096965266,0.9526627063751221,0.10856003521462164
joao,0.9461207,0.21703745495399523,0.9147727489471436,0.1797468437663073,0.9196428656578064,0.18025446789605276
lukasz,0.9291045,0.29250241334695043,0.9126213788986206,0.2232315926887939,0.970588207244873,0.11344432589762352
nikita,0.9672478,0.15921036374541314,0.970588207244873,0.08450654107282925,0.9536423683166504,0.0994515869433418
rim,0.94216615,0.23916747597301796,0.9255319237709045,0.17113282214123623,0.9078013896942139,0.19574210626330782
ron,0.91690063,0.30621049196314504,0.9085545539855957,0.21394019448102225,0.9497487545013428,0.18650182699737836
santi,0.9323749,0.2630516501248708,0.9526813626289368,0.14539177164329622,0.9344262480735779,0.17767814436896903
seb,0.9103522,0.35473258022055937,0.8539325594902039,0.28249810764405614,0.932584285736084,0.17518044355210294
sharan,0.9471947,0.21949487570488807,0.911475419998169,0.21007434413997364,0.9242424368858337,0.17419191848750065
teo,0.93572986,0.2578187977047008,0.9254658222198486,0.1865287452259373,0.8674699068069458,0.32025337686021643
zoe,0.9475392,0.23117889281767262,0.9335442781448364,0.15812694999872695,0.9290322661399841,0.16624542143075696
