,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.97867805,0.10060773437211254,0.9695945978164673,0.07524977999462469,0.9470198750495911,0.08972565972844497
aggie,0.9857221,0.05389920340718999,0.9921875,0.032405623040782906,1.0,0.012419679346654949
andrius,0.9866453,0.06985846972172587,0.9696969985961914,0.10316072231094331,0.9664429426193237,0.09159616104033369
diana,0.9874454,0.0562027328196246,0.9905660152435303,0.03864287636564963,0.9685534834861755,0.09891769951853738
jack,0.98537093,0.07229561067518146,0.9958158731460571,0.020041421775717803,0.9940828680992126,0.02123771410314201
joao,0.98599136,0.061253729790192224,0.9829545617103577,0.06100352212194015,0.9732142686843872,0.04535166719662292
lukasz,0.9872068,0.05489442588042603,0.9741100072860718,0.06457550699512164,1.0,0.013702278052840163
nikita,0.9720021,0.11470038305101665,0.9411764740943909,0.1982701774686575,0.9867549538612366,0.035249336203251845
rim,0.9773922,0.1981398997246655,0.932624101638794,0.20806883962441844,0.9716312289237976,0.12049487978219986
ron,0.9786637,0.0787077518582662,0.9705014824867249,0.07428375284453981,0.9899497628211975,0.036318987570515826
santi,0.9771033,0.11276154131236803,0.9936908483505249,0.0290302514959397,0.9918032884597778,0.039714334769266064
seb,0.9855923,0.05848665306843587,0.9850187301635742,0.04641110257486279,1.0,0.014671075335714254
sharan,0.97744775,0.10590552109958577,0.9770491719245911,0.07462752323872486,0.9292929172515869,0.20499512513821963
teo,0.98474944,0.07143830746201259,0.9875776171684265,0.03628381308434265,0.9759036302566528,0.06111132208936769
zoe,0.996755,0.028077120618192553,1.0,0.019301661154656095,0.9806451797485352,0.03491305985277699
