,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.91151386,0.3441031862105896,0.9189189076423645,0.20695336927294833,0.8940397500991821,0.2286694674499777
aggie,0.91268533,0.3551557279840922,0.8958333134651184,0.27473979858041275,0.8965517282485962,0.2688119205935248
andrius,0.91773504,0.33188912336133486,0.9057239294052124,0.2671430527361154,0.899328887462616,0.33545424099136517
diana,0.9541485,0.15134514061384327,0.946540892124176,0.14879800191840287,0.955974817276001,0.0836678322920072
jack,0.900209,0.41524183747038446,0.9037656784057617,0.3167619060522343,0.9053254723548889,0.2805528334347454
joao,0.9030172,0.39981133991788176,0.9034090638160706,0.3193502957847985,0.8928571343421936,0.25054717489651274
lukasz,0.9104478,0.369040807649525,0.909385085105896,0.2901773237198302,0.9338235259056091,0.16957301558817134
nikita,0.9091389,0.38667068885106987,0.8897058963775635,0.34616036756950264,0.9006622433662415,0.4073483074540334
rim,0.90378547,0.39590516887001936,0.9042553305625916,0.31994550849529024,0.9078013896942139,0.23441852618616524
ron,0.90342504,0.36050735759574465,0.8967551589012146,0.2502725159524113,0.9145728349685669,0.21660209604393896
santi,0.8935037,0.41986844797357836,0.8927444815635681,0.2572662215268574,0.9344262480735779,0.2662879206606599
seb,0.8986126,0.39625010928069515,0.8801498413085938,0.3172121016720261,0.8707864880561829,0.3497529840620046
sharan,0.9158416,0.3644356166306633,0.911475419998169,0.2447051147457029,0.8838383555412292,0.24724487275487245
teo,0.9188453,0.356984531344574,0.9037266969680786,0.29823551174276364,0.9096385836601257,0.209955420389951
zoe,0.9096809,0.3558051823892743,0.9145569801330566,0.27208959075469,0.9225806593894958,0.1929279390842684
