,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.9728145,0.179890746548613,0.9493243098258972,0.14291424745995854,0.9006622433662415,0.25610378283439883
aggie,0.9670511,0.18955467208066135,0.9401041865348816,0.16344114623886222,0.9655172228813171,0.09229681518828046
andrius,0.9583333,0.2215188411820648,0.9562289714813232,0.12963102316414868,0.9530201554298401,0.13240742288379861
diana,0.96888644,0.17640719234162544,0.9119496941566467,0.24855906431967356,0.9811320900917053,0.09254530348680304
jack,0.9487983,0.244297152698476,0.9581589698791504,0.11164525235422486,0.9585798978805542,0.14827180070769505
joao,0.97144395,0.16843458065955802,0.9517045617103577,0.12963324641300875,0.9642857313156128,0.10176447732374072
lukasz,0.97121537,0.19014359454610455,0.9255663156509399,0.1873125600294002,0.8897058963775635,0.22564658873221455
nikita,0.98679346,0.1088012954071597,0.966911792755127,0.08931815695455846,0.9668874144554138,0.09213497631856246
rim,0.95583594,0.22199763547233478,0.978723406791687,0.09358405933471013,0.9716312289237976,0.07647969196583573
ron,0.9702414,0.14195550562356846,0.9616519212722778,0.11442276922392502,0.9648241400718689,0.12466149787002023
santi,0.9733759,0.1795511364429015,0.9305993914604187,0.17943841992210516,0.9754098653793335,0.09647546158950837
seb,0.9583778,0.19292004946360847,0.9250936508178711,0.18225228264648816,0.9382022619247437,0.1605931305106771
sharan,0.97359735,0.1701839676063315,0.9245901703834534,0.23611392470412568,0.9242424368858337,0.20148554098124455
teo,0.9444444,0.24347114530523878,0.9068322777748108,0.25316322537034935,0.8674699068069458,0.3090410897261407
zoe,0.96106005,0.18487418988964377,0.9367088675498962,0.15440849436423446,0.9548386931419373,0.14401802463877586
