,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.9808102,0.1417622454067283,0.9763513803482056,0.08815700221001296,0.9536423683166504,0.14610907582208416
aggie,0.9599121,0.2556816918682358,0.9322916865348816,0.21095402631908655,0.9224137663841248,0.18087050729784473
andrius,0.9775641,0.17495105880447942,0.9797979593276978,0.10227224632144376,0.9932885766029358,0.07944299433155348
diana,0.9677948,0.21333629146673794,0.893081784248352,0.26613772946333736,0.9433962106704712,0.19549868761930825
jack,0.98275864,0.1286705595323409,0.991631805896759,0.06443408250060541,0.9585798978805542,0.11624682443381766
joao,0.96928877,0.17783168497784385,0.9488636255264282,0.16626572837545114,0.9642857313156128,0.1407598682812282
lukasz,0.9728145,0.19547003166062998,0.9190938472747803,0.20871759150599198,0.9926470518112183,0.06927562526920263
nikita,0.95351297,0.22512711825442577,0.9522058963775635,0.15500645646277597,0.9205297827720642,0.13510838543243756
rim,0.97266036,0.21727840757520417,0.9716312289237976,0.1340948024117355,0.9716312289237976,0.11642722679790876
ron,0.9646266,0.22393146795646854,0.9675516486167908,0.12650114636329773,0.9246231317520142,0.20568522642455508
santi,0.94994676,0.24881346049273229,0.9716088175773621,0.11125236401798597,0.9508196711540222,0.15187603357385415
seb,0.97758806,0.16777779052199016,0.9700374603271484,0.10798956665876652,0.9887640476226807,0.084499724293023
sharan,0.96039605,0.23292260450629643,0.9180327653884888,0.19577630308807872,0.9242424368858337,0.16001542552252007
teo,0.9569717,0.2572938459631145,0.9596273303031921,0.12675495945518803,0.8975903391838074,0.23527896134968262
zoe,0.96268255,0.1750435716980789,0.949367105960846,0.1790041581762931,0.9161290526390076,0.16529392821173514
