,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.8176972,0.5377871884084714,0.8141891956329346,0.3424160951572294,0.8940397500991821,0.2390145008137684
aggie,0.9527732,0.20970668083589722,0.9609375,0.11566460128718366,0.9655172228813171,0.10631390224243033
andrius,0.95566237,0.1803887489005032,0.9259259104728699,0.18222609209994275,0.9328858852386475,0.334702349499168
diana,0.9672489,0.1335135037201461,0.9654088020324707,0.11203667519426665,0.955974817276001,0.10031736749312226
jack,0.9613375,0.16315380051778774,0.9874476790428162,0.0661275867668904,0.9526627063751221,0.08891673377279699
joao,0.9606681,0.16565785415727516,0.9204545617103577,0.25354463181627745,0.9196428656578064,0.20261378160544805
lukasz,0.9621535,0.15743909846109622,0.9611650705337524,0.10570522019199569,0.9485294222831726,0.10191720540580504
nikita,0.9640782,0.14058510971546362,0.9375,0.14776777388418422,0.9668874144554138,0.1061631559782865
rim,0.9484753,0.21357105151367237,0.9468085169792175,0.17325242269282223,0.957446813583374,0.09227103940772673
ron,0.97529477,0.12308883875323975,0.9616519212722778,0.0934905831737768,0.9396985173225403,0.125316459301803
santi,0.9574015,0.1834863729306811,0.9716088175773621,0.08269956150923617,0.9426229596138,0.09679398496375709
seb,0.9434365,0.19514424434545963,0.9400749206542969,0.14420319409964236,0.9438202381134033,0.13143161807753398
sharan,0.94939494,0.20830096224091366,0.9573770761489868,0.11591766447317405,0.9191918969154358,0.15563620818835316
teo,0.97331154,0.11746336174378079,0.9347826242446899,0.1688430666148385,0.9638554453849792,0.1351027316582131
zoe,0.94213086,0.23298403619108102,0.9082278609275818,0.27361701372303543,0.948387086391449,0.18458563853656093
