,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss
adela,0.96695095,0.12373319404847077,0.9527027010917664,0.1135484055313911,0.9205297827720642,0.1457475581705965
aggie,0.9868204,0.12842924896175556,0.984375,0.07472924210984881,0.982758641242981,0.09246640588188994
andrius,0.9898504,0.10437713257777385,0.9797979593276978,0.08109173539913062,0.9798657894134521,0.06463551488798737
diana,0.99126637,0.06397828356440151,0.9842767119407654,0.04154275737281116,0.9811320900917053,0.038432860172956995
jack,0.9890282,0.11938302036736827,0.9790794849395752,0.07460349297860178,0.9822485446929932,0.067914778620181
joao,0.9897629,0.12556530756811643,0.9829545617103577,0.0697752291505987,0.9642857313156128,0.12940172212464468
lukasz,0.989339,0.12979273119969154,0.9870550036430359,0.06632850389071653,0.9632353186607361,0.08403921740896561
nikita,0.9883782,0.09313847621281941,0.9779411554336548,0.06485189611831789,0.9735099077224731,0.06436208614598442
rim,0.9873817,0.09998925419408754,0.9858155846595764,0.0562968448544225,0.9716312289237976,0.11760803455394422
ron,0.98147106,0.1087417787904153,0.9793510437011719,0.05640858517558613,0.9849246144294739,0.04118796865731927
santi,0.9771033,0.12005146973517439,0.9716088175773621,0.0838295276561746,0.9918032884597778,0.06408384717145904
seb,0.98132336,0.1412634662846491,0.9812734127044678,0.08439490113630611,0.949438214302063,0.1094490269596657
sharan,0.9851485,0.10948297960071018,0.980327844619751,0.057838856605965584,0.9848484992980957,0.05552192847714806
teo,0.99183005,0.07994363021941486,0.9875776171684265,0.055101459313716204,1.0,0.023174647331596857
zoe,0.98161167,0.14359274999782032,0.9588607549667358,0.1017615313205538,0.9870967864990234,0.08457509654183541
